#{"t_start": 1700553659.4535732, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-247.898945,103,0.746619
-752.823309,86,1.72858
-975.790504,89,2.387912
-785.838043,77,3.320532
-849.858185,81,4.143835
-683.702379,81,5.018438
-423.91274,49,5.888759
-580.540277,71,6.477177
-430.216527,57,7.22401
-494.584481,66,7.83765
-489.815648,73,8.585021
-702.792691,73,9.338194
-467.104277,67,10.074804
-518.352299,70,10.706522
-581.762497,74,11.198221
-636.560455,77,11.74134
-378.135461,54,12.285258
-596.721901,75,12.70098
-704.041311,81,13.337287
-686.906947,71,13.898336
-736.642214,81,14.417865
-739.803935,82,14.955098
-451.641488,72,15.513866
-370.78068,56,16.026748
-564.861705,68,16.44398
-362.264715,50,16.930023
-499.730995,67,17.310592
-750.28454,80,17.800812
-378.810609,54,18.323143
-409.080788,58,18.690039
-527.779306,59,19.106314
-502.043334,60,19.497782
-435.000733,56,19.91944
-515.630141,59,20.325953
-788.30439,80,20.735381
-586.80517,66,21.312651
-804.87406,78,21.76758
-543.160067,59,22.273708
-422.2851,52,22.662635
-340.8371,52,23.017741
-416.219578,60,23.387956
-716.33846,79,23.898621
-538.07401,75,24.456727
-802.438919,86,25.060975
-431.267414,59,25.720359
-426.082632,55,26.130754
-712.286743,73,26.536362
-540.17434,71,27.027898
-432.988086,51,27.502544
-519.94689,57,27.890507
-360.260489,55,28.341598
-538.717174,59,28.742313
-614.61077,74,29.167307
-484.962775,70,29.69824
-630.180383,68,30.20183
-390.931905,49,30.693903
-453.55641,95,31.093329
-418.913774,57,31.92309
-1001.153557,90,32.331881
-520.849499,59,32.943407
-628.437497,72,33.351293
-391.519932,54,33.841347
-544.013078,63,34.238655
-747.156371,85,34.67058
-645.52496,67,35.299697
-452.811282,54,35.767362
-401.204407,58,36.137645
-482.23797,55,36.540626
-469.824173,57,36.92984
-390.198593,47,37.310539
-770.597482,83,37.669985
-502.932585,58,38.245496
-957.048053,85,38.714144
-460.193444,60,39.326976
-739.599068,84,39.765233
-601.673323,66,40.31141
-544.180734,67,40.774303
-353.980344,52,41.211406
-418.645204,54,41.574819
-804.553113,78,41.961932
-719.278115,74,42.487163
-374.96676,50,43.036674
-663.910076,71,43.436508
-611.844135,70,43.999338
-811.787294,86,44.497481
-395.787167,57,45.108042
-825.758557,78,45.538491
-731.83616,77,46.110805
-426.890667,53,46.652219
-359.323949,51,47.044998
-360.675198,57,47.414319
-533.133861,63,47.83091
-390.991746,50,48.320394
-348.653464,90,48.710189
-913.652161,87,49.400417
-754.872294,82,49.979744
-514.34581,65,50.591027
-466.199538,59,51.065871
-466.797686,55,51.467057
-458.25407,70,51.859011
-776.727309,85,52.368109
-895.511758,84,53.064284
-547.960292,68,53.640847
-668.782359,86,54.131793
-1194.916579,97,54.747997
-722.83932,83,55.404505
-1296.790422,98,55.986642
-741.521027,57,56.646348
-1235.896375,106,57.093162
-1223.059256,112,57.920089
-1465.637797,117,58.849166
-818.52049,71,59.639465
-877.746318,75,60.139904
-1311.384806,102,60.719356
-862.692378,74,61.464145
-754.164787,60,62.000715
-809.843155,64,62.510167
-851.634736,68,62.996071
-727.260754,61,63.486867
-708.680812,59,63.92923
-1309.540451,100,64.353647
-1580.302476,122,65.078851
-1906.56628,139,65.979677
-1282.114783,102,66.976997
-1248.562768,99,67.798599
-759.554135,58,68.430814
-870.37378,74,68.847319
-691.31307,56,69.314111
-1273.874991,101,69.726768
-738.771522,61,70.387963
-783.151699,63,70.79813
-1129.080624,91,71.253797
-1274.472808,98,71.90541
-830.334167,66,72.622704
-1404.80985,113,73.124385
-714.894888,56,73.862083
-942.857339,81,74.282555
-772.082826,55,74.871661
-1127.635495,115,75.310114
-1554.574355,124,76.136351
-724.864084,57,77.035454
-769.590067,64,77.431528
-881.241404,73,77.898052
-861.172599,74,78.421392
-1169.456618,103,78.982674
-933.598478,79,79.707443
-1840.209315,133,80.315787
-1325.976745,102,81.314033
-795.320043,69,82.021518
-738.996061,56,82.513714
-858.903885,72,82.958311
-768.810329,62,83.487996
-1438.795235,110,83.983984
-1751.008783,127,84.858645
-1722.211827,125,85.759026
-2031.21359,136,86.651887
-995.751219,85,87.607452
-1520.425256,114,88.276741
-1040.037829,87,89.112369
-776.046873,58,89.807022
-1037.81898,85,90.265258
-1668.872401,124,90.922031
-905.718552,91,91.797171
-840.796948,70,92.431215
-1019.754718,89,92.94925
-863.509393,75,93.58755
-1329.359105,103,94.16027
-717.882532,56,94.935661
-742.530497,57,95.344033
-1584.942455,120,95.782795
-981.875357,83,96.598157
-821.195851,69,97.227583
-1028.351641,84,97.73636
-746.513143,55,98.374269
-1093.698118,88,98.799464
-1273.67668,95,99.499663
-1198.978305,105,100.150227
-925.883529,79,100.866317
-761.738376,58,101.42571
-985.416188,84,101.910745
-763.313798,63,102.488581
-1128.981843,91,102.956856
-1241.462316,95,103.643368
-1025.761637,85,104.322945
-850.806722,77,105.005442
-1237.270382,104,105.604124
-737.329715,61,106.298141
-1344.50458,110,106.750925
-899.912144,76,107.489281
-855.617106,78,108.070263
-1215.039996,99,108.669186
-796.817844,60,109.425138
-1214.021657,102,109.930096
-2045.726419,143,110.702764
-792.259119,63,111.757968
-1783.327149,127,112.317623
-1940.532703,133,113.352117
-729.200057,59,114.343602
-1256.028389,107,114.871258
-1268.941831,108,115.738828
-736.1629,62,116.586599
-1198.972185,93,117.068574
-783.965413,68,117.735783
-1086.430463,88,118.261626
-818.255072,67,118.898321
-771.243132,58,119.407476
-997.899887,92,119.905617
