date,open,high,low,close,volume,amount
2024-02-08,1.037,1.061,1.002,1.056,1803216,188157481.958
2024-02-19,1.057,1.057,1.035,1.051,330964,34688994.969
2024-02-20,1.047,1.047,1.022,1.039,204624,21108119.279
2024-02-21,1.038,1.086,1.009,1.061,84545,9005591.3
2024-02-22,1.06,1.072,1.052,1.064,48191,5119945.242
2024-02-23,1.064,1.084,1.062,1.08,37655,4042346.833
2024-02-26,1.079,1.087,1.062,1.075,28968,3120894.839
2024-02-27,1.07,1.093,1.07,1.093,19536,2117673.783
2024-02-28,1.1,1.202,1.079,1.079,110917,12461770.173
2024-02-29,1.07,1.12,1.03,1.119,33065,3638635.725
2024-03-01,1.12,1.136,1.11,1.133,38755,4358851.845
2024-03-04,1.14,1.153,1.13,1.138,77931,8880498.133
2024-03-05,1.134,1.134,1.116,1.125,20652,2319975.8
2024-03-06,1.126,1.16,1.114,1.143,64601,7350229.201
2024-03-07,1.145,1.145,1.111,1.111,20128,2273271.6
2024-03-08,1.116,1.146,1.116,1.144,24859,2819526.9
2024-03-11,1.178,1.258,1.167,1.235,182573,21827145.034
2024-03-12,1.234,1.234,1.209,1.219,181319,22124048.686
2024-03-13,1.219,1.223,1.2,1.217,79047,9603023.1
2024-03-14,1.216,1.223,1.195,1.203,74944,9054641.819
2024-03-15,1.203,1.203,1.173,1.19,70717,8371395.486
2024-03-18,1.201,1.224,1.201,1.224,94492,11462324.642
2024-03-19,1.229,1.236,1.209,1.211,66801,8170336.5
2024-03-20,1.212,1.226,1.206,1.22,38872,4734546.8
2024-03-21,1.22,1.221,1.201,1.204,44646,5390852.1
2024-03-22,1.204,1.208,1.18,1.182,33304,3959007.4
2024-03-25,1.183,1.192,1.164,1.164,31543,3714987.9
2024-03-26,1.164,1.196,1.161,1.187,42597,5016819.8
2024-03-27,1.187,1.188,1.142,1.144,46210,5378420.3
2024-03-28,1.143,1.173,1.143,1.159,48631,5650663.863
2024-03-29,1.166,1.19,1.155,1.168,31500,3676594.3
2024-04-01,1.169,1.218,1.169,1.218,61853,7448756.9
2024-04-02,1.221,1.234,1.209,1.231,66334,8106556.491
2024-04-03,1.23,1.23,1.203,1.207,49824,6036571.7
2024-04-08,1.207,1.21,1.175,1.175,44584,5308849.3
2024-04-09,1.175,1.201,1.175,1.2,50987,6092374.6
2024-04-10,1.202,1.202,1.171,1.178,53993,6367413.5
2024-04-11,1.16,1.187,1.158,1.176,29166,3420690.6
2024-04-12,1.17,1.174,1.144,1.146,58689,6782002.2
2024-04-15,1.115,1.172,1.115,1.148,54418,6264792.476
2024-04-16,1.147,1.148,1.105,1.106,46155,5165990.728
2024-04-17,1.119,1.136,1.108,1.136,38124,4298287.6
2024-04-18,1.137,1.145,1.08,1.13,35961,4064985.4
2024-04-19,1.13,1.13,1.096,1.104,43096,4759856.1
2024-04-22,1.104,1.116,1.091,1.099,13879,1532389.2
2024-04-23,1.109,1.125,1.097,1.108,19856,2199907.0
