date,code,name,weight,value,qty,price
2018-01-05,CASH,,1.0,1000000.0,,
2018-01-12,CASH,,1.0,1000000.0,,
2018-01-19,CASH,,1.0,1000000.0,,
2018-01-26,CASH,,1.0,1000000.0,,
2018-02-02,CASH,,1.0,1000000.0,,
2018-02-09,CASH,,1.0,1000000.0,,
2018-02-23,CASH,,1.0,1000000.0,,
2018-03-02,CASH,,1.0,1000000.0,,
2018-03-09,CASH,,1.0,1000000.0,,
2018-03-16,CASH,,1.0,1000000.0,,
2018-03-23,CASH,,1.0,1000000.0,,
2018-03-30,CASH,,1.0,1000000.0,,
2018-04-13,CASH,,1.0,1000000.0,,
2018-04-20,CASH,,1.0,1000000.0,,
2018-04-27,CASH,,1.0,1000000.0,,
2018-05-04,CASH,,1.0,1000000.0,,
2018-05-11,CASH,,1.0,1000000.0,,
2018-05-18,CASH,,1.0,1000000.0,,
2018-05-25,CASH,,1.0,1000000.0,,
2018-06-01,CASH,,1.0,1000000.0,,
2018-06-08,CASH,,1.0,1000000.0,,
2018-06-15,CASH,,1.0,1000000.0,,
2018-06-22,CASH,,1.0,1000000.0,,
2018-06-29,CASH,,1.0,1000000.0,,
2018-07-06,CASH,,1.0,1000000.0,,
2018-07-13,CASH,,1.0,1000000.0,,
2018-07-20,CASH,,1.0,1000000.0,,
2018-07-27,CASH,,1.0,1000000.0,,
2018-08-03,CASH,,1.0,1000000.0,,
2018-08-10,CASH,,1.0,1000000.0,,
2018-08-17,CASH,,1.0,1000000.0,,
2018-08-24,CASH,,1.0,1000000.0,,
2018-08-31,CASH,,1.0,1000000.0,,
2018-09-07,CASH,,1.0,1000000.0,,
2018-09-14,CASH,,1.0,1000000.0,,
2018-09-21,CASH,,1.0,1000000.0,,
2018-09-28,CASH,,1.0,1000000.0,,
2018-10-12,CASH,,1.0,1000000.0,,
2018-10-19,CASH,,1.0,1000000.0,,
2018-10-26,CASH,,1.0,1000000.0,,
2018-11-02,CASH,,1.0,1000000.0,,
2018-11-09,CASH,,1.0,1000000.0,,
2018-11-16,CASH,,1.0,1000000.0,,
2018-11-23,CASH,,1.0,1000000.0,,
2018-11-30,CASH,,1.0,1000000.0,,
2018-12-07,CASH,,1.0,1000000.0,,
2018-12-14,CASH,,1.0,1000000.0,,
2018-12-21,CASH,,1.0,1000000.0,,
2018-12-28,CASH,,1.0,1000000.0,,
2019-01-04,CASH,,1.0,1000000.0,,
2019-01-11,CASH,,1.0,1000000.0,,
2019-01-18,CASH,,1.0,1000000.0,,
2019-01-25,CASH,,1.0,1000000.0,,
2019-02-01,CASH,,1.0,1000000.0,,
2019-02-15,CASH,,1.0,1000000.0,,
2019-02-22,CASH,,1.0,1000000.0,,
2019-03-01,CASH,,1.0,1000000.0,,
2019-03-08,CASH,,1.0,1000000.0,,
2019-03-15,CASH,,1.0,1000000.0,,
2019-03-22,512880,国泰中证全指证券公司ETF,0.200300450676014,200000.0,188501.4137606032,1.061
2019-03-22,512000,华夏中证全指证券公司ETF,0.200300450676014,200000.0,197823.93669634027,1.011
2019-03-22,512010,易方达沪深300医药卫生ETF,0.200300450676014,200000.0,119760.47904191617,1.67
2019-03-22,159915,易方达创业板ETF,0.200300450676014,200000.0,123380.62924120913,1.621
2019-03-22,159949,华安创业板50ETF,0.200300450676014,200000.0,336134.4537815126,0.595
2019-03-22,CASH,,-0.0015022533800701052,-1500.0,,
2019-03-29,512880,国泰中证全指证券公司ETF,0.2001262005921548,201422.4922569422,187021.81268054058,1.077
2019-03-29,512000,华夏中证全指证券公司ETF,0.2001262005921548,201422.4922569422,197473.03162445314,1.02
2019-03-29,159915,易方达创业板ETF,0.2001262005921548,201422.4922569422,124028.62823703336,1.624
2019-03-29,159949,华安创业板50ETF,0.2001262005921548,201422.4922569422,340816.39975793945,0.591
2019-03-29,511880,可转债ETF,0.2001262005921548,201422.4922569422,1998.595902611004,100.782
2019-03-29,CASH,,-0.00063100296077402,-635.090201105807,,
2019-04-12,512880,国泰中证全指证券公司ETF,0.2001245858980739,201551.33976352584,187141.44824839913,1.077
2019-04-12,159915,易方达创业板ETF,0.2001245858980739,201551.33976352584,124107.9678346834,1.624
2019-04-12,159949,华安创业板50ETF,0.2001245858980739,201551.33976352584,341612.4402771625,0.59
2019-04-12,511880,可转债ETF,0.2001245858980739,201551.33976352584,1997.5157804533735,100.901
2019-04-12,512010,易方达沪深300医药卫生ETF,0.2001245858980739,201551.33976352584,117317.42710333286,1.718
2019-04-12,CASH,,-0.0006229294903695106,-627.3705591882182,,
2019-04-19,512880,国泰中证全指证券公司ETF,0.20000609640061112,202759.4784510792,187740.25782507332,1.08
2019-04-19,159915,易方达创业板ETF,0.20000609640061112,202759.4784510792,123258.0416115983,1.645
2019-04-19,159949,华安创业板50ETF,0.20000609640061112,202759.4784510792,338496.62512701034,0.599
2019-04-19,511880,可转债ETF,0.20000609640061112,202759.4784510792,2008.75268433176,100.938
2019-04-19,512010,易方达沪深300医药卫生ETF,0.20000609640061112,202759.4784510792,117814.92065722207,1.721
2019-04-19,CASH,,-3.048200305558202e-05,-30.901633264790462,,
2019-04-26,512880,国泰中证全指证券公司ETF,0.20012576442197116,196580.0462577209,188114.8768016468,1.045
2019-04-26,159915,易方达创业板ETF,0.20012576442197116,196580.0462577209,123713.05617225986,1.589
2019-04-26,159949,华安创业板50ETF,0.20012576442197116,196580.0462577209,344273.2859154482,0.571
2019-04-26,511880,可转债ETF,0.20012576442197116,196580.0462577209,1946.6069183621582,100.986
2019-04-26,512000,华夏中证全指证券公司ETF,0.20012576442197116,196580.0462577209,197567.88568615168,0.995
2019-04-26,CASH,,-0.0006288221098557959,-617.6809857559692,,
2019-05-06,CASH,,1.0,887117.921632868,,
2019-06-14,511880,可转债ETF,0.33383408446002333,295705.97387762263,2918.1606572155433,101.333
2019-06-14,513100,纳斯达克100ETF,0.33383408446002333,295705.97387762263,564619.6990541713,0.5237259244992295
2019-06-14,511010,国债ETF,0.33383408446002333,295705.97387762263,2528.6117618485996,116.944
2019-06-14,CASH,,-0.0015022533800699768,-1330.6768824491883,,
2019-06-21,511880,可转债ETF,0.33400606845120967,298046.6769984864,2940.447282470441,101.361
2019-06-21,510300,华泰柏瑞沪深300ETF,0.33400606845120967,298046.6769984864,77414.72129830816,3.85
2019-06-21,510050,华夏上证50ETF,0.33400606845120967,298046.6769984864,100930.13105265371,2.953
2019-06-21,CASH,,-0.0020182053536289954,-1800.9235638709506,,
2019-06-28,511880,可转债ETF,0.33333960417605313,297695.93768363626,2935.4810298841003,101.413
2019-06-28,510300,华泰柏瑞沪深300ETF,0.33333960417605313,297695.93768363626,77143.28522509361,3.859
2019-06-28,510050,华夏上证50ETF,0.33333960417605313,297695.93768363626,100845.50734540525,2.952
2019-06-28,CASH,,-1.8812528159226866e-05,-16.800923563834914,,
2019-07-05,511880,可转债ETF,0.25018764772904367,225398.71080063542,2221.005181067502,101.485
2019-07-05,510300,华泰柏瑞沪深300ETF,0.2501876477290436,225398.7108006354,57485.00658011615,3.921
2019-07-05,510050,华夏上证50ETF,0.2501876477290436,225398.7108006354,75459.89648498004,2.987
2019-07-05,159928,消费ETF,0.2501876477290436,225398.7108006354,76251.25534527584,2.956
2019-07-05,CASH,,-0.0007505909161745969,-676.2213337872236,,
2019-07-12,511880,可转债ETF,0.2501939203005156,223332.0908341046,2200.077733783576,101.511
2019-07-12,510300,华泰柏瑞沪深300ETF,0.2501939203005156,223332.0908341046,57933.09749263414,3.855
2019-07-12,510050,华夏上证50ETF,0.2501939203005156,223332.0908341046,75885.86164937295,2.943
2019-07-12,511010,国债ETF,0.2501939203005156,223332.0908341046,1900.4883785973007,117.513
2019-07-12,CASH,,-0.0007756812020625486,-692.4009363187693,,
2019-07-19,511880,可转债ETF,0.3335836373068642,297716.90021076665,2931.5251554375045,101.557
2019-07-19,510050,华夏上证50ETF,0.3335836373068642,297716.90021076665,101264.25177236961,2.94
2019-07-19,511010,国债ETF,0.3335836373068642,297716.90021076665,2530.8100360495987,117.637
2019-07-19,CASH,,-0.0007509119205925781,-670.1742661450844,,
2019-07-26,511880,可转债ETF,0.33367326441546363,298973.4733210477,2942.6522964670053,101.6
2019-07-26,511010,国债ETF,0.33367326441546363,298973.4733210477,2540.973417878887,117.661
2019-07-26,513100,纳斯达克100ETF,0.33367326441546363,298973.4733210477,535855.0521031342,0.5579372110939906
2019-07-26,CASH,,-0.0010197932463907704,-913.7415593572077,,
2019-08-02,511880,可转债ETF,0.2503759481762929,223269.2038103402,2196.558648338238,101.645
2019-08-02,511010,国债ETF,0.2503759481762929,223269.2038103402,1893.0744769403104,117.94
2019-08-02,510300,华泰柏瑞沪深300ETF,0.2503759481762929,223269.2038103402,58739.595845919546,3.801
2019-08-02,510050,华夏上证50ETF,0.2503759481762929,223269.2038103402,77255.77986516962,2.89
2019-08-02,CASH,,-0.0015037927051715749,-1340.985835201107,,
2019-08-09,511880,可转债ETF,0.25000923397214886,220312.69051257725,2166.406318035078,101.695
2019-08-09,511010,国债ETF,0.25000923397214886,220312.69051257725,1860.3248457917302,118.427
2019-08-09,510300,华泰柏瑞沪深300ETF,0.25000923397214886,220312.69051257725,59592.28848054564,3.697
2019-08-09,510050,华夏上证50ETF,0.25000923397214886,220312.69051257725,78125.0675576515,2.82
2019-08-09,CASH,,-3.693588859551747e-05,-32.54857776116296,,
2019-08-16,511880,可转债ETF,0.20024029935012339,177898.12595213775,1748.7454506791353,101.729
2019-08-16,510300,华泰柏瑞沪深300ETF,0.20024029935012339,177898.12595213775,47200.35180475929,3.769
2019-08-16,510050,华夏上证50ETF,0.20024029935012339,177898.12595213775,61985.409739420815,2.87
2019-08-16,159915,易方达创业板ETF,0.20024029935012339,177898.12595213775,117657.49070908582,1.512
2019-08-16,159949,华安创业板50ETF,0.20024029935012339,177898.12595213775,326418.5797286931,0.545
2019-08-16,CASH,,-0.001201496750616933,-1067.4375785795273,,
2019-08-23,511880,可转债ETF,0.3337373082743849,303650.0205925612,2983.6009608890495,101.773
2019-08-23,510300,华泰柏瑞沪深300ETF,0.3337373082743849,303650.0205925612,78320.87196093918,3.877
2019-08-23,159915,易方达创业板ETF,0.3337373082743849,303650.0205925612,195273.32513991077,1.555
2019-08-23,CASH,,-0.001211924823154722,-1102.6666434458457,,
2019-08-30,511880,可转债ETF,0.3336711730800065,302526.91736098344,2971.0183780270604,101.826
2019-08-30,510300,华泰柏瑞沪深300ETF,0.3336711730800065,302526.91736098344,78354.54995104465,3.861
2019-08-30,159949,华安创业板50ETF,0.3336711730800065,302526.91736098344,540226.6381446132,0.56
2019-08-30,CASH,,-0.001013519240019452,-918.9192118062056,,
2019-09-06,511880,可转债ETF,0.3336787532248157,313099.94839100895,3073.7056113151743,101.864
2019-09-06,159949,华安创业板50ETF,0.3336787532248157,313099.94839100895,524455.5249430636,0.597
2019-09-06,159915,易方达创业板ETF,0.3336787532248157,313099.94839100895,191968.0860766456,1.631
2019-09-06,CASH,,-0.0010362596744472252,-972.350943694968,,
2019-09-20,511880,可转债ETF,0.5010035137724392,470765.24601427495,4617.292054633571,101.957
2019-09-20,512010,易方达沪深300医药卫生ETF,0.5010035137724392,470765.24601427495,258662.22308476645,1.82
2019-09-20,CASH,,-0.0020070275448785613,-1885.8925934626022,,
2019-09-27,511880,可转债ETF,0.5007532878975205,463358.00585243915,4542.10212179151,102.014
2019-09-27,159915,易方达创业板ETF,0.5007532878975205,463358.0058524391,291971.01818049094,1.587
2019-09-27,CASH,,-0.0015065757950408474,-1394.0676435429486,,
2019-10-11,511880,可转债ETF,0.5000081503320637,465618.6518393149,4560.641087607766,102.095
2019-10-11,159915,易方达创业板ETF,0.5000081503320636,465618.6518393148,289924.44074677135,1.606
2019-10-11,CASH,,-1.6300664127271067e-05,-15.179539073482829,,
2019-10-18,511880,可转债ETF,1.0014936809753672,926644.5780106069,9069.457170365726,102.172
2019-10-18,CASH,,-0.0014936809753671866,-1382.0470397312893,,
2019-10-25,511880,可转债ETF,0.5007522502775932,462649.4043997786,4527.965514404347,102.176
2019-10-25,159915,易方达创业板ETF,0.5007522502775931,462649.4043997785,286292.94826718967,1.616
2019-10-25,CASH,,-0.0015045005551862559,-1390.0212837589788,,
2019-11-01,511880,可转债ETF,0.5000066561348745,463362.7031112331,4532.595477909723,102.229
2019-11-01,159915,易方达创业板ETF,0.5000066561348745,463362.703111233,285146.27883768186,1.625
2019-11-01,CASH,,-1.331226974896175e-05,-12.336654361978958,,
2019-11-08,511880,可转债ETF,0.5007574794918581,466334.9102458103,4559.172021760867,102.285
2019-11-08,510300,华泰柏瑞沪深300ETF,0.5007574794918581,466334.9102458103,115601.11805795992,4.034
2019-11-08,CASH,,-0.001514958983716376,-1410.8191901883451,,
2019-11-15,511880,可转债ETF,1.0014848359674378,920880.6338908325,9000.358046550222,102.316
2019-11-15,CASH,,-0.001484835967437797,-1365.3293967223726,,
2019-11-22,511880,可转债ETF,0.5007522431324463,459978.16101919545,4493.5100964118155,102.365
2019-11-22,510300,华泰柏瑞沪深300ETF,0.5007522431324464,459978.1610191955,117701.67886878084,3.908
2019-11-22,CASH,,-0.0015044862648925233,-1381.9824771526037,,
2019-11-29,511880,可转债ETF,1.0014977967614733,916345.2538502002,8947.02402728205,102.419
2019-11-29,CASH,,-0.0014977967614734024,-1370.4463035730878,,
2019-12-06,511880,可转债ETF,0.2505643325412992,228804.09429884088,2233.411692978163,102.446
2019-12-06,512800,华夏中证银行ETF,0.25056433254129923,228804.09429884094,208953.5107751972,1.095
2019-12-06,510300,华泰柏瑞沪深300ETF,0.25056433254129923,228804.09429884094,57691.40047877986,3.966
2019-12-06,159949,华安创业板50ETF,0.25056433254129923,228804.09429884094,366086.5508781455,0.625
2019-12-06,CASH,,-0.0022573301651969075,-2061.2925181448227,,
2019-12-13,511880,可转债ETF,0.5007501736481376,462293.49625548196,4511.016639723285,102.481
2019-12-13,159949,华安创业板50ETF,0.5007501736481376,462293.4962554819,720083.3275007507,0.642
2019-12-13,CASH,,-0.0015003472962751441,-1385.1234281944926,,
2019-12-20,511880,可转债ETF,0.25037612574866885,231588.21584778896,2258.4938302512064,102.541
2019-12-20,159949,华安创业板50ETF,0.25037612574866885,231588.21584778896,358495.690166856,0.646
2019-12-20,512800,华夏中证银行ETF,0.25037612574866885,231588.21584778896,203862.86606319452,1.136
2019-12-20,512480,国联安半导体ETF,0.25037612574866885,231588.21584778896,162176.62174214915,1.428
2019-12-20,CASH,,-0.0015045029946755067,-1391.6069802290585,,
2019-12-27,159949,华安创业板50ETF,0.500749901284315,463126.04529985954,713599.4534666557,0.649
2019-12-27,512480,国联安半导体ETF,0.500749901284315,463126.04529985954,323864.36734255916,1.43
2019-12-27,CASH,,-0.0014998025686299105,-1387.1148662409105,,
2020-01-03,159949,华安创业板50ETF,0.33366772326542,320430.4944065561,477541.7204270583,0.671
2020-01-03,512480,国联安半导体ETF,0.33366772326542,320430.4944065561,214478.24257466942,1.494
2020-01-03,511880,可转债ETF,0.33366772326542,320430.4944065561,3199.569581085555,100.148
2020-01-03,CASH,,-0.001003169796259996,-963.3721555189695,,
2020-01-10,159949,华安创业板50ETF,0.20024058213240878,197222.85071042491,283773.8859142805,0.695
2020-01-10,512480,国联安半导体ETF,0.20024058213240878,197222.85071042491,126424.90430155443,1.56
2020-01-10,511880,可转债ETF,0.20024058213240878,197222.85071042491,1968.2722798218074,100.201
2020-01-10,512980,华夏中证传媒ETF,0.20024058213240878,197222.85071042491,215308.78898518003,0.916
2020-01-10,159915,易方达创业板ETF,0.20024058213240878,197222.85071042491,107713.18990192513,1.831
2020-01-10,CASH,,-0.0012029106620439721,-1184.7821624959179,,
2020-01-17,159949,华安创业板50ETF,0.2001272617021127,200310.43547964047,284531.86857903475,0.704
2020-01-17,512480,国联安半导体ETF,0.20012726170211267,200310.43547964044,121106.67199494586,1.654
2020-01-17,511880,可转债ETF,0.20012726170211267,200310.43547964044,1997.6906132345387,100.271
2020-01-17,512980,华夏中证传媒ETF,0.20012726170211267,200310.43547964044,219638.63539434256,0.912
2020-01-17,513100,纳斯达克100ETF,0.2001272617021127,200310.43547964047,294183.7923567655,0.6809023497688751
2020-01-17,CASH,,-0.0006363085105633694,-636.8909151421442,,
2020-02-07,159949,华安创业板50ETF,0.20012751457651923,210784.63926209972,281797.6460723258,0.748
2020-02-07,512480,国联安半导体ETF,0.20012751457651923,210784.63926209972,114308.37270178943,1.844
2020-02-07,511880,可转债ETF,0.20012751457651923,210784.63926209972,2098.925957302462,100.425
2020-02-07,513100,纳斯达克100ETF,0.2001275145765192,210784.6392620997,290703.83903056255,0.7250837827426809
2020-02-07,159915,易方达创业板ETF,0.20012751457651923,210784.63926209972,108651.87590829883,1.94
2020-02-07,CASH,,-0.0006375728825959953,-671.5247043649731,,
2020-02-14,159949,华安创业板50ETF,0.2000099687541332,219301.2906646881,285177.23103340453,0.769
2020-02-14,512480,国联安半导体ETF,0.2000099687541332,219301.2906646881,110982.43454690694,1.976
2020-02-14,511880,可转债ETF,0.20000996875413324,219301.29066468813,2183.3624446415656,100.442
2020-02-14,513100,纳斯达克100ETF,0.2000099687541332,219301.2906646881,279747.0120587843,0.78392719568567
2020-02-14,159915,易方达创业板ETF,0.2000099687541332,219301.2906646881,110368.03757659189,1.987
2020-02-14,CASH,,-4.984377066618522e-05,-54.651292166972326,,
2020-02-21,159949,华安创业板50ETF,0.20001987814470548,229832.89310681183,277575.9578584684,0.828
2020-02-21,512480,国联安半导体ETF,0.20001987814470548,229832.89310681183,100583.32302267475,2.285
2020-02-21,511880,可转债ETF,0.20001987814470548,229832.89310681183,2287.4862462608417,100.474
2020-02-21,513100,纳斯达克100ETF,0.20001987814470548,229832.89310681183,316121.9462858328,0.7270387134052386
2020-02-21,159915,易方达创业板ETF,0.20001987814470548,229832.89310681185,107148.2019145976,2.145
2020-02-21,CASH,,-9.939072352741576e-05,-114.20493677013019,,
2020-02-28,159949,华安创业板50ETF,0.20012809601865877,214242.3261072087,278961.36211876135,0.768
2020-02-28,512480,国联安半导体ETF,0.2001280960186588,214242.32610720873,105278.7843278667,2.035
2020-02-28,511880,可转债ETF,0.2001280960186588,214242.32610720873,2130.068861674376,100.58
2020-02-28,159915,易方达创业板ETF,0.2001280960186588,214242.32610720873,107389.63714647054,1.995
2020-02-28,512880,国泰中证全指证券公司ETF,0.2001280960186588,214242.32610720873,217064.1601896745,0.987
2020-02-28,CASH,,-0.000640480093293805,-685.6505795159987,,
2020-03-06,159949,华安创业板50ETF,0.20013258082098875,221085.01409004463,272607.90886565304,0.811
2020-03-06,512480,国联安半导体ETF,0.20013258082098875,221085.01409004463,112282.89186899168,1.969
2020-03-06,511880,可转债ETF,0.20013258082098878,221085.01409004466,2197.795237191529,100.594
2020-03-06,159915,易方达创业板ETF,0.20013258082098875,221085.01409004463,104729.99246330868,2.111
2020-03-06,512170,医疗ETF,0.20013258082098875,221085.01409004463,137064.48486673567,1.613
2020-03-06,CASH,,-0.0006629041049440497,-732.3053686745516,,
2020-03-12,CASH,,1.0,1047697.0679652633,,
2020-04-10,159915,易方达创业板ETF,0.20030045067601404,209539.41359305265,111635.27628825394,1.877
2020-04-10,511880,可转债ETF,0.20030045067601404,209539.41359305265,2079.155928131817,100.781
2020-04-10,512170,医疗ETF,0.200300450676014,209539.41359305262,136864.41122994947,1.531
2020-04-10,159949,华安创业板50ETF,0.20030045067601404,209539.41359305265,290220.79445021146,0.722
2020-04-10,512290,国泰中证生物医药ETF,0.20030045067601407,209539.41359305268,144909.69128150254,1.446
2020-04-10,CASH,,-0.001502253380070168,-1571.5456019479607,,
2020-04-17,159915,易方达创业板ETF,0.2000073744244565,215795.17363353545,111062.87886440322,1.943
2020-04-17,511880,可转债ETF,0.20000737442445649,215795.17363353542,2141.0162974227405,100.791
2020-04-17,512170,医疗ETF,0.2000073744244565,215795.17363353545,137099.8561839488,1.574
2020-04-17,159949,华安创业板50ETF,0.2000073744244565,215795.17363353545,285443.3513671104,0.756
2020-04-17,512290,国泰中证生物医药ETF,0.20000737442445654,215795.17363353548,142627.3454286421,1.513
2020-04-17,CASH,,-3.687212228250129e-05,-39.78266327972142,,
