date,nav,benchmark_nav
2020-01-02,1016089.818482015,948241.9155654755
2020-01-03,1014558.5166222089,947807.9344774616
2020-01-06,1016915.2028161646,947691.7554043247
2020-01-07,1019049.4186707952,954267.2450622359
2020-01-08,990481.822587863,942615.8363756064
2020-01-09,1009478.742300207,951218.312772506
2020-01-10,1024499.010997975,950421.9636230414
2020-01-13,1044540.8148952649,957576.8118864101
2020-01-14,1041375.6355122454,954887.4814897231
2020-01-15,1040954.0747728326,949729.4994649001
2020-01-16,1036950.4664303772,944825.0828774791
2020-01-17,1035789.4289249894,945259.986021629
2020-01-20,1047890.4866220466,951496.4663735346
2020-01-21,1033248.7521601963,938082.08635486
2020-01-22,1055448.3074691547,940729.3095213361
2020-01-23,1035723.7525766343,914841.9687988497
2020-02-03,940905.1579824255,844174.9718311852
2020-02-04,940905.1579824255,855449.2595581877
2020-02-05,940905.1579824255,866145.1107358686
2020-02-06,940905.1579824255,881027.7114751117
2020-02-07,940905.1579824255,883933.4177117149
2020-02-10,940905.1579824255,888397.39881817
2020-02-11,940905.1579824255,891835.4387972945
2020-02-12,940905.1579824255,899588.3941408864
2020-02-13,940905.1579824255,893187.7877967714
2020-02-14,940905.1579824255,896548.3750604715
2020-02-17,940905.1579824255,917022.3242084609
2020-02-18,940905.1579824255,917437.2494696641
2020-02-19,940905.1579824255,914495.8903958019
2020-02-20,940905.1579824255,931324.0295820197
2020-02-21,940905.1579824255,934248.4842933883
2020-02-24,940905.1579824255,931655.6624389369
2020-02-25,940905.1579824255,926067.0801985987
2020-02-26,940905.1579824255,918346.0894677216
2020-02-27,940905.1579824255,919391.0864218628
2020-02-28,940905.1579824255,885267.3255884716
2020-03-02,940905.1579824255,913121.7194011061
2020-03-03,940905.1579824255,919873.0144289491
2020-03-04,940905.1579824255,925641.7049678542
2020-03-05,940905.1579824255,944086.2085604921
2020-03-06,940905.1579824255,932663.162443547
2020-03-09,891994.1808580714,904626.5088680286
2020-03-10,924552.1317819415,921060.9300841715
2020-03-11,898761.974231532,912379.7715636658
2020-03-12,882446.1246180696,898539.4016101559
2020-03-13,882139.4465874118,887456.5942073975
2020-03-16,820924.3636179573,857282.9218606601
2020-03-17,820924.3636179573,854328.3466488485
2020-03-18,820924.3636179573,838688.7378219435
2020-03-19,820924.3636179573,830505.1822628364
2020-03-20,820924.3636179573,843871.3080103934
2020-03-23,820924.3636179573,817607.7683844162
2020-03-24,820924.3636179573,836746.8875995129
2020-03-25,820924.3636179573,854927.6831372529
2020-03-26,820924.3636179573,849801.0510210543
2020-03-27,820924.3636179573,852042.2621356419
2020-03-30,820924.3636179573,844361.8418747492
2020-03-31,820924.3636179573,845309.1008784736
2020-04-01,820924.3636179573,840460.9297153489
2020-04-02,820924.3636179573,854634.7766380481
2020-04-03,820924.3636179573,849517.0577311642
2020-04-07,820924.3636179573,866967.2774571413
2020-04-08,820924.3636179573,865309.4205246008
2020-04-09,820924.3636179573,868547.374322212
2020-04-10,820924.3636179573,859550.2578991012
2020-04-13,820924.3636179573,855375.4950673069
2020-04-14,820924.3636179573,868971.2127927297
2020-04-15,820924.3636179573,864020.0786944176
2020-04-16,820924.3636179573,866712.7899636034
2020-04-17,820924.3636179573,872417.2439250331
2020-04-20,824915.8028494962,876737.9989783618
2020-04-21,822259.3154407692,868888.2277404892
2020-04-22,827122.122996406,874103.0698936993
2020-04-23,832058.6938781628,872418.4733332144
2020-04-24,823965.8427251152,863207.1325345049
2020-04-27,833413.9932794282,865348.146882313
2020-04-28,837720.3771832061,863666.6238422816
2020-04-29,823986.3143888131,867483.3215412599
2020-04-30,819421.6869544397,879052.0525276939
2020-05-06,832086.3935466078,884602.2157623651
2020-05-07,837935.6385231314,882568.4672783792
2020-05-08,845105.3799016945,889889.9003503199
2020-05-11,838008.2337487459,889723.315541748
2020-05-12,834372.3897748984,888725.6508025884
