date,nav,benchmark_nav
2024-01-02,852291.4531502984,874960.7899315042
2024-01-03,852291.4531502984,876429.0630048942
2024-01-04,852291.4531502984,872619.4097961667
2024-01-05,852291.4531502984,865186.1850597085
2024-01-08,852291.4531502984,852885.5952103166
2024-01-09,852291.4531502984,854573.0311524363
2024-01-10,852291.4531502984,849980.3580447837
2024-01-11,852291.4531502984,852623.3086504352
2024-01-12,852291.4531502984,851243.0551658341
2024-01-15,852291.4531502984,852517.2716290418
2024-01-16,852291.4531502984,854791.0125501755
2024-01-17,852291.4531502984,836958.4801557178
2024-01-18,852291.4531502984,840552.8102764346
2024-01-19,852291.4531502984,836563.8688449053
2024-01-22,852291.4531502984,814133.9374588331
2024-01-23,852291.4531502984,818456.9398129141
2024-01-24,852291.4531502984,833165.072173109
2024-01-25,852291.4531502984,858370.8696512592
2024-01-26,852291.4531502984,859586.012564944
2024-01-29,859356.3672854076,851650.3672897941
2024-01-30,863326.8021750634,836046.3845510853
2024-01-31,852383.483693422,823647.1418739902
2024-02-01,844013.602494423,818387.233024477
2024-02-02,853512.377834345,806398.8468843133
2024-02-05,854699.3713554179,798138.2970867879
2024-02-06,852359.9801446483,823924.1968212522
2024-02-07,850490.2382681097,835800.9339528178
2024-02-08,863967.968403633,846495.313990684
2024-02-19,874073.2567414837,859680.825611928
2024-02-20,872463.0839481314,863280.1769843544
2024-02-21,872744.000905779,871617.2270285118
2024-02-22,884758.0249502556,882664.571524777
2024-02-23,892682.8470396479,887544.9328186057
2024-02-26,876728.009263033,879316.2827378227
2024-02-27,879752.208341132,890675.830943316
2024-02-28,879023.6815847628,873654.083016059
2024-02-29,880707.3845931425,890584.2669415554
2024-03-01,888487.5311790548,894084.0793830358
2024-03-04,900045.1799811041,897712.9675302234
2024-03-05,896810.007932748,900219.7536042249
2024-03-06,895658.2802130088,897897.5723724824
2024-03-07,883005.1108030016,894196.6144948767
2024-03-08,903328.9306183719,899695.7712199574
2024-03-11,895495.6221262072,906322.6420054288
2024-03-12,886739.9711997475,902624.6378052995
2024-03-13,885570.7019793283,899050.6880591679
2024-03-14,882240.5833438556,897396.3333047811
2024-03-15,886149.8018335031,902240.9551011487
2024-03-18,900931.1728223054,911187.6441763818
2024-03-19,892708.6886155283,904639.3412117757
2024-03-20,897060.5318151312,909639.9171788836
2024-03-21,893473.1191345997,908879.9359642722
2024-03-22,883146.4950058592,900290.9372313999
2024-03-25,858656.6134347669,893873.1868112393
2024-03-26,837940.6946147087,895401.7149051427
2024-03-27,804892.3068700128,884076.7247261204
2024-03-28,804892.3068700128,889253.0445030585
2024-03-29,804892.3068700128,898262.6469085334
2024-04-01,804892.3068700128,908958.5037851377
2024-04-02,804892.3068700128,908243.7138359112
2024-04-03,804892.3068700128,906571.0462811722
2024-04-08,804892.3068700128,900001.1814709904
2024-04-09,804892.3068700128,900439.5072084498
2024-04-10,804892.3068700128,894177.1202235343
2024-04-11,804892.3068700128,896218.4067272958
2024-04-12,804892.3068700128,891855.2343595393
2024-04-15,804892.3068700128,903050.8534651067
2024-04-16,804892.3068700128,888190.9020826381
2024-04-17,804892.3068700128,907186.8880349478
2024-04-18,804892.3068700128,908026.9139091626
2024-04-19,804892.3068700128,905379.2374195491
2024-04-22,804892.3068700128,899275.1675473547
2024-04-23,804892.3068700128,892594.8351995652
2024-04-24,804892.3068700128,899342.2160260632
2024-04-25,804892.3068700128,901728.1966912905
2024-04-26,804892.3068700128,912283.4585200304
2024-04-29,798777.4101647206,919492.4991360493
2024-04-30,795398.288079746,917065.166986156
2024-05-06,794002.9600068497,927667.3922867666
2024-05-07,797239.9607872303,929740.2831395228
2024-05-08,795010.0163667852,924052.0910559692
2024-05-09,799979.0399821721,931684.3936543193
2024-05-10,813890.5471347716,931751.4421330277
2024-05-13,819703.6937550467,929823.8722120977
2024-05-14,815051.5006175409,929160.1808832086
2024-05-15,810622.2884147302,921518.426516935
2024-05-16,830714.6443427547,922256.5505182226
2024-05-17,838493.6383145102,931597.5555365207
2024-05-20,842263.2477808082,936653.9560079277
2024-05-21,814168.6058767375,932761.3044621205
2024-05-22,817064.2380235752,932930.8455492511
2024-05-23,802284.8864433919,920480.2088840711
2024-05-24,779876.122882983,912352.8699407197
2024-05-27,796151.3776343475,922741.5443598052
2024-05-28,793102.2479697207,918467.2776840805
2024-05-29,781064.1079560335,918894.3794471306
2024-05-30,769385.2137270333,913181.9672082727
2024-05-31,768450.8115489092,911745.0031161297
2024-06-03,763569.493557345,909286.3619849894
2024-06-04,774970.5283347566,913040.4860571654
2024-06-05,767913.0289971379,905421.1796397103
2024-06-06,761450.6866180896,900515.4167195867
2024-06-07,765853.2653237124,901249.4055724079
2024-06-11,755505.3593750804,894386.8313243404
2024-06-12,755505.3593750804,897170.0816101086
2024-06-13,755505.3593750804,894644.9827357552
2024-06-14,755505.3593750804,895741.9785503941
2024-06-17,755505.3593750804,890796.9317198377
2024-06-18,755505.3593750804,895036.9357368392
2024-06-19,755505.3593750804,891434.3353191891
2024-06-20,755505.3593750804,887709.1572862791
2024-06-21,755505.3593750804,885553.2680964434
2024-06-24,755505.3593750804,875203.8775877907
2024-06-25,755505.3593750804,871333.6739908021
2024-06-26,755505.3593750804,877988.0139768018
2024-06-27,755505.3593750804,870109.6700446891
2024-06-28,755505.3593750804,876475.140373522
2024-07-01,755505.3593750804,884546.6548125744
2024-07-02,755505.3593750804,885220.3886448822
2024-07-03,755505.3593750804,880897.681658549
2024-07-04,755505.3593750804,873569.9032079891
2024-07-05,755505.3593750804,871315.0658227026
2024-07-08,755505.3593750804,863197.4740150223
2024-07-09,755505.3593750804,874103.0419924326
2024-07-10,755505.3593750804,868193.3240981684
2024-07-11,755505.3593750804,877356.5177324028
2024-07-12,755505.3593750804,877624.7116472365
2024-07-15,766833.6537993203,878426.9304497564
2024-07-16,769342.1694379405,879104.2086950357
2024-07-17,762227.3821084087,875131.8078573728
2024-07-18,751738.300493649,879349.0685578078
2024-07-19,740046.6977160112,880877.8920194589
2024-07-22,737177.1404393999,875533.8033618756
2024-07-23,722976.3715201507,861105.9749941665
2024-07-24,712812.973681276,857143.0259244272
2024-07-25,698770.3619629864,852650.4824832157
2024-07-26,701076.5204322567,853877.7354745526
2024-07-29,706661.6360717607,854157.7440992907
2024-07-30,703396.4661972343,850452.355705471
2024-07-31,703186.9653468132,868011.6729333857
2024-08-01,707594.9462168077,866132.5433230645
2024-08-02,702777.4798953866,858143.1411178488
