date,nav,benchmark_nav
2020-01-02,1030291.9170777538,948241.9155654755
2020-01-03,1029457.1696488785,947807.9344774616
2020-01-06,1038945.8978698243,947691.7554043247
2020-01-07,1041292.9157089229,954267.2450622359
2020-01-08,1021907.8114653596,942615.8363756064
2020-01-09,1051031.1656184269,951218.312772506
2020-01-10,1070591.359138545,950421.9636230414
2020-01-13,1095413.1875609215,957576.8118864101
2020-01-14,1092882.0192979649,954887.4814897231
2020-01-15,1096573.6518739741,949729.4994649001
2020-01-16,1094114.4532993624,944825.0828774791
2020-01-17,1092677.2152820525,945259.986021629
2020-01-20,1109549.3264328837,951496.4663735346
2020-01-21,1096037.6644614483,938082.08635486
2020-01-22,1119973.7522395311,940729.3095213361
2020-01-23,1100208.7173567244,914841.9687988497
2020-02-03,1003554.1013379693,844174.9718311852
2020-02-04,1003554.1013379693,855449.2595581877
2020-02-05,1003554.1013379693,866145.1107358686
2020-02-06,1003554.1013379693,881027.7114751117
2020-02-07,1003554.1013379693,883933.4177117149
2020-02-10,1003554.1013379693,888397.39881817
2020-02-11,1003554.1013379693,891835.4387972945
2020-02-12,1003554.1013379693,899588.3941408864
2020-02-13,1003554.1013379693,893187.7877967714
2020-02-14,1003554.1013379693,896548.3750604715
2020-02-17,1003554.1013379693,917022.3242084609
2020-02-18,1003554.1013379693,917437.2494696641
2020-02-19,1003554.1013379693,914495.8903958019
2020-02-20,1003554.1013379693,931324.0295820197
2020-02-21,1003554.1013379693,934248.4842933883
2020-02-24,1003554.1013379693,931655.6624389369
2020-02-25,1003554.1013379693,926067.0801985987
2020-02-26,1003554.1013379693,918346.0894677216
2020-02-27,1003554.1013379693,919391.0864218628
2020-02-28,1003554.1013379693,885267.3255884716
2020-03-02,1003554.1013379693,913121.7194011061
2020-03-03,1003554.1013379693,919873.0144289491
2020-03-04,1003554.1013379693,925641.7049678542
2020-03-05,1003554.1013379693,944086.2085604921
2020-03-06,1003554.1013379693,932663.162443547
2020-03-09,950625.3038912462,904626.5088680286
2020-03-10,986401.2515983088,921060.9300841715
2020-03-11,959039.0277923159,912379.7715636658
2020-03-12,940893.6758865232,898539.4016101559
2020-03-13,940980.2150262899,887456.5942073975
2020-03-16,872692.8979769229,857282.9218606601
2020-03-17,872692.8979769229,854328.3466488485
2020-03-18,872692.8979769229,838688.7378219435
2020-03-19,872692.8979769229,830505.1822628364
2020-03-20,872692.8979769229,843871.3080103934
2020-03-23,872692.8979769229,817607.7683844162
2020-03-24,872692.8979769229,836746.8875995129
2020-03-25,872692.8979769229,854927.6831372529
2020-03-26,872692.8979769229,849801.0510210543
2020-03-27,872692.8979769229,852042.2621356419
2020-03-30,872692.8979769229,844361.8418747492
2020-03-31,872692.8979769229,845309.1008784736
2020-04-01,872692.8979769229,840460.9297153489
2020-04-02,872692.8979769229,854634.7766380481
2020-04-03,872692.8979769229,849517.0577311642
2020-04-07,872692.8979769229,866967.2774571413
2020-04-08,872692.8979769229,865309.4205246008
2020-04-09,872692.8979769229,868547.374322212
2020-04-10,872692.8979769229,859550.2578991012
2020-04-13,872692.8979769229,855375.4950673069
2020-04-14,872692.8979769229,868971.2127927297
2020-04-15,872692.8979769229,864020.0786944176
2020-04-16,872692.8979769229,866712.7899636034
2020-04-17,872692.8979769229,872417.2439250331
2020-04-20,883913.2026087048,876737.9989783618
2020-04-21,875826.2558831525,868888.2277404892
2020-04-22,879135.9381131597,874103.0698936993
2020-04-23,883436.2705539337,872418.4733332144
2020-04-24,868272.3687217168,863207.1325345049
2020-04-27,871235.2177950465,865348.146882313
2020-04-28,870586.5871914213,863666.6238422816
2020-04-29,867228.7875050772,867483.3215412599
2020-04-30,869409.5882746092,879052.0525276939
2020-05-06,878573.5764839168,884602.2157623651
2020-05-07,878559.8854816834,882568.4672783792
2020-05-08,887539.0942594263,889889.9003503199
2020-05-11,878994.2298916014,889723.315541748
2020-05-12,889374.9836867881,888725.6508025884
2020-05-13,903628.7196001837,890721.5949849982
2020-05-14,895433.682830437,882205.4845128378
2020-05-15,895054.0651189077,881626.7406114708
2020-05-18,914291.7161086156,883765.6034949616
2020-05-19,914261.2360820483,890883.2621608446
2020-05-20,908412.7341188925,886322.7725121542
2020-05-21,909107.048097361,881462.3072672162
2020-05-22,889758.8108769694,864816.4278438824
2020-05-25,902420.9846487843,866108.8431945187
2020-05-26,920761.7399588843,874892.0425940758
2020-05-27,903367.2013400133,871897.5116163706
2020-05-28,893272.425220336,874792.1531793419
2020-05-29,908161.7712387829,876675.9138652041
2020-06-01,926706.4492742299,896063.6808849772
2020-06-02,918757.2206203818,897897.650539495
2020-06-03,919037.6277664852,898504.0561249424
2020-06-04,928136.8905226566,897237.7656981595
2020-06-05,932305.6948677137,900787.0671176955
2020-06-08,929340.8154128176,902929.9255777758
2020-06-09,938590.1800872568,908567.0694412771
2020-06-10,945903.0968003478,904768.5055129738
2020-06-11,937321.4987623623,897743.6671647818
2020-06-12,940550.5978497831,897388.3682003738
2020-06-15,944277.8583053853,888256.9389334514
2020-06-16,964849.8379622749,901079.0515607644
2020-06-17,976521.977063434,902346.5713957287
2020-06-18,958874.1428494402,903404.477135774
2020-06-19,979599.6840304829,912108.3797076344
2020-06-22,983164.0676040583,911382.4141765516
2020-06-23,1002699.5926453775,913026.1329150067
2020-06-24,1001723.2757929886,915771.0940318995
2020-06-29,1002085.9333826805,910227.9998942709
2020-06-30,1020018.5742960059,917345.658560154
2020-07-01,1027275.9960683301,930041.4494968341
2020-07-02,1025789.1068296882,949892.7034009733
2020-07-03,1035726.0943716768,969023.5241108459
2020-07-06,1056003.3664230513,1024367.7922103467
2020-07-07,1084619.341106595,1028196.1692870478
2020-07-08,1100278.1365109114,1046054.2451771855
2020-07-09,1131764.8841474494,1060547.123522943
2020-07-10,1146284.3034892092,1039870.9367291228
2020-07-13,1200441.1508714373,1058300.9947756298
2020-07-14,1183641.4587369876,1049490.1336919928
2020-07-15,1170427.7917659678,1033103.6593949223
2020-07-16,1088318.2356231483,986630.4933799444
2020-07-17,1092169.3048440786,987869.122122647
2020-07-20,1098175.3790123425,1018610.4736971193
2020-07-21,1122561.6900715593,1020683.8705949537
2020-07-22,1137596.1044408698,1024454.7728391768
2020-07-23,1156513.6127024665,1021979.3594660435
2020-07-24,1085488.8542169093,982533.1832635746
2020-07-27,1095534.2824962623,985133.074215069
2020-07-28,1108191.2097364618,992120.1082616845
2020-07-29,1150239.7777650235,1012587.2956646765
2020-07-30,1152060.0916131127,1010211.464354232
2020-07-31,1171672.9554295884,1017337.421525339
2020-08-03,1193914.5301100723,1035151.2387209482
2020-08-04,1182856.6273997214,1036295.2030336877
2020-08-05,1197251.078927517,1038101.5110041254
2020-08-06,1167967.2423394325,1040836.3295035221
2020-08-07,1143895.7195777267,1030869.5173773773
2020-08-10,1126951.7814289783,1038620.0139046065
2020-08-11,1113343.0508994518,1026644.9635142387
2020-08-12,1066345.973588067,1020183.1941131019
2020-08-13,1066345.973588067,1020631.928099292
2020-08-14,1066345.973588067,1032733.3001802927
2020-08-17,1066345.973588067,1056922.5208522994
2020-08-18,1066345.973588067,1060699.262785384
2020-08-19,1066345.973588067,1047495.4189177643
2020-08-20,1066345.973588067,1033901.2379525682
2020-08-21,1066345.973588067,1039059.8346814819
2020-08-24,1066345.973588067,1040582.76406612
2020-08-25,1066345.973588067,1036876.0983993721
2020-08-26,1066345.973588067,1023402.0920839022
2020-08-27,1066345.973588067,1029664.0826555707
2020-08-28,1066345.973588067,1046167.0433778237
2020-08-31,1066345.973588067,1043668.57860129
2020-09-01,1066345.973588067,1048257.037286106
2020-09-02,1066345.973588067,1046472.8586629326
2020-09-03,1066345.973588067,1040380.8337723346
2020-09-04,1066345.973588067,1031278.9103017645
2020-09-07,1066345.973588067,1011984.5783037733
2020-09-08,1066345.973588067,1019307.5481359406
2020-09-09,1066345.973588067,1000316.5726066958
2020-09-10,1066345.973588067,994229.4653488231
2020-09-11,1066345.973588067,1002074.0116019251
2020-09-14,1065069.6418731823,1007750.1891751839
2020-09-15,1073793.8854263988,1012933.988771815
2020-09-16,1056065.2630925043,1009320.7581268491
2020-09-17,1049395.4990013293,1005174.8863873164
2020-09-18,1071957.2982718907,1025968.7890145004
