date,nav,benchmark_nav
2020-01-02,1022340.4457038051,948241.9155654755
2020-01-03,1021512.1405949957,947807.9344774616
2020-01-06,1030927.5605968962,947691.7554043247
2020-01-07,1033256.4648850174,954267.2450622359
2020-01-08,1014020.9688242598,942615.8363756064
2020-01-09,1042919.558021859,951218.312772506
2020-01-10,1062328.7920747953,950421.9636230414
2020-01-13,1086959.0514692941,957576.8118864101
2020-01-14,1084447.4181552643,954887.4814897231
2020-01-15,1088110.559597403,949729.4994649001
2020-01-16,1085670.3405269433,944825.0828774791
2020-01-17,1084244.194767574,945259.986021629
2020-01-20,1100985.9366585123,951496.4663735346
2020-01-21,1087578.5544514905,938082.08635486
2020-01-22,1111329.9092485558,940729.3095213361
2020-01-23,1091717.4161615374,914841.9687988497
2020-02-03,995808.7572729443,844174.9718311852
2020-02-04,995808.7572729443,855449.2595581877
2020-02-05,995808.7572729443,866145.1107358686
2020-02-06,995808.7572729443,881027.7114751117
2020-02-07,995808.7572729443,883933.4177117149
2020-02-10,995808.7572729443,888397.39881817
2020-02-11,995808.7572729443,891835.4387972945
2020-02-12,995808.7572729443,899588.3941408864
2020-02-13,995808.7572729443,893187.7877967714
2020-02-14,995808.7572729443,896548.3750604715
2020-02-17,995808.7572729443,917022.3242084609
2020-02-18,995808.7572729443,917437.2494696641
2020-02-19,995808.7572729443,914495.8903958019
2020-02-20,995808.7572729443,931324.0295820197
2020-02-21,995808.7572729443,934248.4842933883
2020-02-24,995808.7572729443,931655.6624389369
2020-02-25,995808.7572729443,926067.0801985987
2020-02-26,995808.7572729443,918346.0894677216
2020-02-27,995808.7572729443,919391.0864218628
2020-02-28,995808.7572729443,885267.3255884716
2020-03-02,995808.7572729443,913121.7194011061
2020-03-03,995808.7572729443,919873.0144289491
2020-03-04,995808.7572729443,925641.7049678542
2020-03-05,995808.7572729443,944086.2085604921
2020-03-06,995808.7572729443,932663.162443547
2020-03-09,943288.4597233632,904626.5088680286
2020-03-10,978788.2917492939,921060.9300841715
2020-03-11,951637.2472284827,912379.7715636658
2020-03-12,933631.9395848815,898539.4016101559
2020-03-13,933717.8108230256,887456.5942073975
2020-03-16,865957.4136327464,857282.9218606601
2020-03-17,865957.4136327464,854328.3466488485
2020-03-18,865957.4136327464,838688.7378219435
2020-03-19,865957.4136327464,830505.1822628364
2020-03-20,865957.4136327464,843871.3080103934
2020-03-23,865957.4136327464,817607.7683844162
2020-03-24,865957.4136327464,836746.8875995129
2020-03-25,865957.4136327464,854927.6831372529
2020-03-26,865957.4136327464,849801.0510210543
2020-03-27,865957.4136327464,852042.2621356419
2020-03-30,865957.4136327464,844361.8418747492
2020-03-31,865957.4136327464,845309.1008784736
2020-04-01,865957.4136327464,840460.9297153489
2020-04-02,865957.4136327464,854634.7766380481
2020-04-03,865957.4136327464,849517.0577311642
2020-04-07,865957.4136327464,866967.2774571413
2020-04-08,865957.4136327464,865309.4205246008
2020-04-09,865957.4136327464,868547.374322212
2020-04-10,865957.4136327464,859550.2578991012
2020-04-13,865957.4136327464,855375.4950673069
2020-04-14,865957.4136327464,868971.2127927297
2020-04-15,865957.4136327464,864020.0786944176
2020-04-16,865957.4136327464,866712.7899636034
2020-04-17,865957.4136327464,872417.2439250331
2020-04-20,877091.1194319271,876737.9989783618
2020-04-21,869066.588137036,868888.2277404892
2020-04-22,872350.7260857775,874103.0698936993
2020-04-23,876617.8683609196,872418.4733332144
2020-04-24,861571.0022277721,863207.1325345049
2020-04-27,864510.8295333287,865348.146882313
2020-04-28,863867.2050908467,863666.6238422816
2020-04-29,860535.3210585323,867483.3215412599
2020-04-30,862699.2903063744,879052.0525276939
2020-05-06,871792.5504287948,884602.2157623651
2020-05-07,871778.965094353,882568.4672783792
2020-05-08,880688.8719214489,889889.9003503199
2020-05-11,872209.9587446037,889723.315541748
2020-05-12,882510.5915941412,888725.6508025884
2020-05-13,896654.3140323162,890721.5949849982
2020-05-14,888522.5283624971,882205.4845128378
2020-05-15,888145.840624131,881626.7406114708
2020-05-18,907234.8954113142,883765.6034949616
2020-05-19,907204.6506363079,890883.2621608446
2020-05-20,901401.2886999887,886322.7725121542
2020-05-21,902090.2438101831,881462.3072672162
2020-05-22,882891.340547935,864816.4278438824
2020-05-25,895455.6674341147,866108.8431945187
2020-05-26,913654.8623669929,874892.0425940758
2020-05-27,896394.5808933078,871897.5116163706
2020-05-28,886377.7197935579,874792.1531793419
2020-05-29,901152.1446212839,876675.9138652041
2020-06-01,919553.6860560961,896063.6808849772
2020-06-02,911665.8133484299,897897.650539495
2020-06-03,911944.0561781557,898504.0561249424
2020-06-04,920973.0864752706,897237.7656981595
2020-06-05,925109.7139958612,900787.0671176955
2020-06-08,922167.6803051467,902929.9255777758
2020-06-09,931345.6539630551,908567.0694412771
2020-06-10,938602.126090347,904768.5055129738
2020-06-11,930086.7649268882,897743.6671647818
2020-06-12,933290.9402844697,897388.3682003738
2020-06-15,936989.3931911747,888256.9389334514
2020-06-16,957402.5876342854,901079.0515607644
2020-06-17,968984.635109196,902346.5713957287
2020-06-18,951473.0160371158,903404.477135774
2020-06-19,972038.5867368531,912108.3797076344
2020-06-22,975575.4583499489,911382.4141765516
2020-06-23,994960.1973018812,913026.1329150067
2020-06-24,993991.4162080584,915771.0940318995
2020-06-29,994351.2746039933,910227.9998942709
2020-06-30,1012145.5013825574,917345.658560154
2020-07-01,1019346.906321663,930041.4494968341
2020-07-02,1017871.4937243282,949892.7034009733
2020-07-03,1027731.7820484266,969023.5241108459
2020-07-06,1047149.957127572,1024367.7922103467
2020-07-07,1069179.448539353,1028196.1692870478
2020-07-08,1084197.3070271167,1046054.2451771855
2020-07-09,1113920.2791268476,1060547.123522943
2020-07-10,1129478.199328427,1039870.9367291228
2020-07-13,1182850.1404670994,1058300.9947756298
2020-07-14,1166296.754920833,1049490.1336919928
2020-07-15,1153276.8184779075,1033103.6593949223
2020-07-16,1072371.1013381444,986630.4933799444
2020-07-17,1076165.7085886365,987869.122122647
2020-07-20,1080020.051441413,1018610.4736971193
2020-07-21,1105916.106533851,1020683.8705949537
2020-07-22,1123047.1241075664,1024454.7728391768
2020-07-23,1144020.5840253362,1021979.3594660435
2020-07-24,1074942.7038995374,982533.1832635746
2020-07-27,1082860.5286524582,985133.074215069
2020-07-28,1099470.9082134578,992120.1082616845
2020-07-29,1137942.7370064887,1012587.2956646765
2020-07-30,1139064.5039322015,1010211.464354232
2020-07-31,1157684.8026687868,1017337.421525339
2020-08-03,1183075.8633216233,1035151.2387209482
2020-08-04,1166459.9245169396,1036295.2030336877
2020-08-05,1179349.6605275758,1038101.5110041254
2020-08-06,1156975.397799489,1040836.3295035221
2020-08-07,1130266.6596680488,1030869.5173773773
2020-08-10,1113092.265993035,1038620.0139046065
2020-08-11,1101782.2219450786,1026644.9635142387
2020-08-12,1056402.0292626463,1020183.1941131019
2020-08-13,1056402.0292626463,1020631.928099292
2020-08-14,1056402.0292626463,1032733.3001802927
2020-08-17,1056402.0292626463,1056922.5208522994
2020-08-18,1056402.0292626463,1060699.262785384
2020-08-19,1056402.0292626463,1047495.4189177643
2020-08-20,1056402.0292626463,1033901.2379525682
2020-08-21,1056402.0292626463,1039059.8346814819
2020-08-24,1056402.0292626463,1040582.76406612
2020-08-25,1056402.0292626463,1036876.0983993721
2020-08-26,1056402.0292626463,1023402.0920839022
2020-08-27,1056402.0292626463,1029664.0826555707
2020-08-28,1056402.0292626463,1046167.0433778237
2020-08-31,1056402.0292626463,1043668.57860129
2020-09-01,1056402.0292626463,1048257.037286106
2020-09-02,1056402.0292626463,1046472.8586629326
2020-09-03,1056402.0292626463,1040380.8337723346
2020-09-04,1056402.0292626463,1031278.9103017645
2020-09-07,1056402.0292626463,1011984.5783037733
2020-09-08,1056402.0292626463,1019307.5481359406
2020-09-09,1056402.0292626463,1000316.5726066958
2020-09-10,1056402.0292626463,994229.4653488231
2020-09-11,1056402.0292626463,1002074.0116019251
2020-09-14,1055137.599661923,1007750.1891751839
2020-09-15,1063780.4874503843,1012933.988771815
2020-09-16,1046217.1889774335,1009320.7581268491
