date,nav,benchmark_nav
2024-01-02,811855.1759527614,874960.7899315042
2024-01-03,811855.1759527614,876429.0630048942
2024-01-04,811855.1759527614,872619.4097961667
2024-01-05,811855.1759527614,865186.1850597085
2024-01-08,811855.1759527614,852885.5952103166
2024-01-09,811855.1759527614,854573.0311524363
2024-01-10,811855.1759527614,849980.3580447837
2024-01-11,811855.1759527614,852623.3086504352
2024-01-12,811855.1759527614,851243.0551658341
2024-01-15,811855.1759527614,852517.2716290418
2024-01-16,811855.1759527614,854791.0125501755
2024-01-17,811855.1759527614,836958.4801557178
2024-01-18,811855.1759527614,840552.8102764346
2024-01-19,811855.1759527614,836563.8688449053
2024-01-22,811855.1759527614,814133.9374588331
2024-01-23,811855.1759527614,818456.9398129141
2024-01-24,811855.1759527614,833165.072173109
2024-01-25,811855.1759527614,858370.8696512592
2024-01-26,811855.1759527614,859586.012564944
2024-01-29,817589.7472932164,851650.3672897941
2024-01-30,825981.7603642808,836046.3845510853
2024-01-31,813342.2733802234,823647.1418739902
2024-02-01,801988.6692809418,818387.233024477
2024-02-02,812144.1350188827,806398.8468843133
2024-02-05,810709.8606772649,798138.2970867879
2024-02-06,807002.5949720789,823924.1968212522
2024-02-07,806916.7562341916,835800.9339528178
2024-02-08,822536.4185810329,846495.313990684
2024-02-19,827011.8711579663,859680.825611928
2024-02-20,824923.2547417646,863280.1769843544
2024-02-21,819844.1959216604,871617.2270285118
2024-02-22,834017.0900460633,882664.571524777
2024-02-23,843977.6850079026,887544.9328186057
2024-02-26,834394.7758961646,879316.2827378227
2024-02-27,835417.877513813,890675.830943316
2024-02-28,837176.8998310065,873654.083016059
2024-02-29,835247.0870764032,890584.2669415554
2024-03-01,847294.5128318574,894084.0793830358
2024-03-04,860811.3144308686,897712.9675302234
2024-03-05,858079.0202409736,900219.7536042249
2024-03-06,860120.0923349013,897897.5723724824
2024-03-07,857474.2955090073,894196.6144948767
2024-03-08,863377.690679171,899695.7712199574
2024-03-11,853058.8714387801,906322.6420054288
2024-03-12,849976.9512641286,902624.6378052995
2024-03-13,848815.2846272285,899050.6880591679
2024-03-14,847835.8245196121,897396.3333047811
2024-03-15,846686.1114408227,902240.9551011487
2024-03-18,853629.6059745944,911187.6441763818
2024-03-19,850762.4753436022,904639.3412117757
2024-03-20,852108.2835989081,909639.9171788836
2024-03-21,860511.2412495568,908879.9359642722
2024-03-22,856551.7682683584,900290.9372313999
2024-03-25,844934.0328854837,893873.1868112393
2024-03-26,843907.039845154,895401.7149051427
2024-03-27,842002.7571486606,884076.7247261204
2024-03-28,845011.2927729506,889253.0445030585
2024-03-29,848898.5856425947,898262.6469085334
2024-04-01,854237.9616529713,908958.5037851377
2024-04-02,851071.6006086034,908243.7138359112
2024-04-03,843634.6115009724,906571.0462811722
2024-04-08,843643.391698656,900001.1814709904
2024-04-09,847033.2309078476,900439.5072084498
2024-04-10,840160.781408818,894177.1202235343
2024-04-11,836615.7937974294,896218.4067272958
2024-04-12,846874.7831721753,891855.2343595393
2024-04-15,840763.5782231945,903050.8534651067
2024-04-16,826070.0718832987,888190.9020826381
2024-04-17,830835.0849668593,907186.8880349478
2024-04-18,830241.2034340682,908026.9139091626
2024-04-19,825259.449670675,905379.2374195491
2024-04-22,807124.9926752442,899275.1675473547
2024-04-23,787486.2925967847,892594.8351995652
2024-04-24,801340.5721717459,899342.2160260632
2024-04-25,799728.4977787562,901728.1966912905
2024-04-26,818833.8082039462,912283.4585200304
2024-04-29,818681.0251113521,919492.4991360493
2024-04-30,813507.1593044183,917065.166986156
2024-05-06,813134.7041503607,927667.3922867666
2024-05-07,813354.9622588396,929740.2831395228
2024-05-08,809403.9919435042,924052.0910559692
2024-05-09,813887.4780301432,931684.3936543193
2024-05-10,822771.4107870794,931751.4421330277
2024-05-13,834986.0540124321,929823.8722120977
2024-05-14,843376.3488834096,929160.1808832086
2024-05-15,839180.1987822453,921518.426516935
2024-05-16,848094.8897187301,922256.5505182226
2024-05-17,855959.7877756673,931597.5555365207
2024-05-20,861693.4556931907,936653.9560079277
2024-05-21,829799.5033825028,932761.3044621205
2024-05-22,833984.8409031073,932930.8455492511
2024-05-23,817773.7079862934,920480.2088840711
2024-05-24,792154.4147766999,912352.8699407197
2024-05-27,804317.2995803095,922741.5443598052
2024-05-28,797735.446803597,918467.2776840805
2024-05-29,798524.8199941553,918894.3794471306
2024-05-30,788532.6833846332,913181.9672082727
2024-05-31,785305.2997769534,911745.0031161297
2024-06-03,780652.4572393901,909286.3619849894
2024-06-04,787370.1345143393,913040.4860571654
2024-06-05,777995.0536449901,905421.1796397103
