date,nav,benchmark_nav
2020-01-02,1008352.3960078175,948241.9155654755
2020-01-03,1007535.8248111563,947807.9344774616
2020-01-06,1016822.2889265991,947691.7554043247
2020-01-07,1019119.3291766264,954267.2450622359
2020-01-08,1000147.01292208,942615.8363756064
2020-01-09,1028650.2119992074,951218.312772506
2020-01-10,1047793.8891649898,950421.9636230414
2020-01-13,1069508.5873877697,957576.8118864101
2020-01-14,1067228.818480954,954887.4814897231
2020-01-15,1067513.768826426,949729.4994649001
2020-01-16,1065508.6290264628,944825.0828774791
2020-01-17,1063702.534706794,945259.986021629
2020-01-20,1080135.7080895198,951496.4663735346
2020-01-21,1066982.3368229582,938082.08635486
2020-01-22,1090283.7078815089,940729.3095213361
2020-01-23,1071042.7853022066,914841.9687988497
2020-02-03,976951.1737884413,844174.9718311852
2020-02-04,976951.1737884413,855449.2595581877
2020-02-05,976951.1737884413,866145.1107358686
2020-02-06,976951.1737884413,881027.7114751117
2020-02-07,976951.1737884413,883933.4177117149
2020-02-10,976951.1737884413,888397.39881817
2020-02-11,976951.1737884413,891835.4387972945
2020-02-12,976951.1737884413,899588.3941408864
2020-02-13,976951.1737884413,893187.7877967714
2020-02-14,976951.1737884413,896548.3750604715
2020-02-17,976951.1737884413,917022.3242084609
2020-02-18,976951.1737884413,917437.2494696641
2020-02-19,976951.1737884413,914495.8903958019
2020-02-20,976951.1737884413,931324.0295820197
2020-02-21,976951.1737884413,934248.4842933883
2020-02-24,976951.1737884413,931655.6624389369
2020-02-25,976951.1737884413,926067.0801985987
2020-02-26,976951.1737884413,918346.0894677216
2020-02-27,976951.1737884413,919391.0864218628
2020-02-28,976951.1737884413,885267.3255884716
2020-03-02,976951.1737884413,913121.7194011061
2020-03-03,976951.1737884413,919873.0144289491
2020-03-04,976951.1737884413,925641.7049678542
2020-03-05,976951.1737884413,944086.2085604921
2020-03-06,976951.1737884413,932663.162443547
2020-03-09,924380.9265619688,904626.5088680286
2020-03-10,964567.7739826582,921060.9300841715
2020-03-11,935522.7381963629,912379.7715636658
2020-03-12,918282.5502625384,898539.4016101559
2020-03-13,919485.1961173831,887456.5942073975
2020-03-16,853301.8254990511,857282.9218606601
2020-03-17,853301.8254990511,854328.3466488485
2020-03-18,853301.8254990511,838688.7378219435
2020-03-19,853301.8254990511,830505.1822628364
2020-03-20,853301.8254990511,843871.3080103934
2020-03-23,853301.8254990511,817607.7683844162
2020-03-24,853301.8254990511,836746.8875995129
2020-03-25,853301.8254990511,854927.6831372529
2020-03-26,853301.8254990511,849801.0510210543
2020-03-27,853301.8254990511,852042.2621356419
2020-03-30,853301.8254990511,844361.8418747492
2020-03-31,853301.8254990511,845309.1008784736
2020-04-01,853301.8254990511,840460.9297153489
2020-04-02,853301.8254990511,854634.7766380481
2020-04-03,853301.8254990511,849517.0577311642
2020-04-07,853301.8254990511,866967.2774571413
2020-04-08,853301.8254990511,865309.4205246008
2020-04-09,853301.8254990511,868547.374322212
2020-04-10,853301.8254990511,859550.2578991012
2020-04-13,853301.8254990511,855375.4950673069
2020-04-14,853301.8254990511,868971.2127927297
2020-04-15,853301.8254990511,864020.0786944176
2020-04-16,853301.8254990511,866712.7899636034
2020-04-17,853301.8254990511,872417.2439250331
2020-04-20,867393.74083736,876737.9989783618
2020-04-21,856194.8493527048,868888.2277404892
2020-04-22,861477.1342630552,874103.0698936993
2020-04-23,861253.1603143073,872418.4733332144
2020-04-24,843186.2713104712,863207.1325345049
2020-04-27,847758.0455252811,865348.146882313
2020-04-28,857393.9289553674,863666.6238422816
2020-04-29,850383.8115163308,867483.3215412599
2020-04-30,867036.0078716839,879052.0525276939
2020-05-06,889786.2062741369,884602.2157623651
2020-05-07,889635.6572304328,882568.4672783792
2020-05-08,896418.5496247847,889889.9003503199
2020-05-11,885846.595241928,889723.315541748
2020-05-12,896384.7128467506,888725.6508025884
