date,nav,benchmark_nav
2024-01-02,831768.4048836788,874960.7899315042
2024-01-03,820897.125807158,876429.0630048942
2024-01-04,820897.125807158,872619.4097961667
2024-01-05,820897.125807158,865186.1850597085
2024-01-08,820897.125807158,852885.5952103166
2024-01-09,820897.125807158,854573.0311524363
2024-01-10,820897.125807158,849980.3580447837
2024-01-11,820897.125807158,852623.3086504352
2024-01-12,820897.125807158,851243.0551658341
2024-01-15,820897.125807158,852517.2716290418
2024-01-16,820897.125807158,854791.0125501755
2024-01-17,820897.125807158,836958.4801557178
2024-01-18,820897.125807158,840552.8102764346
2024-01-19,820897.125807158,836563.8688449053
2024-01-22,820897.125807158,814133.9374588331
2024-01-23,820897.125807158,818456.9398129141
2024-01-24,820897.125807158,833165.072173109
2024-01-25,820897.125807158,858370.8696512592
2024-01-26,820897.125807158,859586.012564944
2024-01-29,820897.125807158,851650.3672897941
2024-01-30,820897.125807158,836046.3845510853
2024-01-31,820897.125807158,823647.1418739902
2024-02-01,820897.125807158,818387.233024477
2024-02-02,820897.125807158,806398.8468843133
2024-02-05,819368.2871376363,798138.2970867879
2024-02-06,814891.8113527577,823924.1968212522
2024-02-07,814307.9251803231,835800.9339528178
2024-02-08,831620.6279879569,846495.313990684
2024-02-19,839147.3784237404,859680.825611928
2024-02-20,836287.1406091755,863280.1769843544
2024-02-21,830523.6060418418,871617.2270285118
2024-02-22,844597.4980310661,882664.571524777
2024-02-23,853200.5531005647,887544.9328186057
2024-02-26,843512.0194054282,879316.2827378227
2024-02-27,844546.3013320261,890675.830943316
2024-02-28,846324.545994895,873654.083016059
2024-02-29,844373.64452101,890584.2669415554
2024-03-01,856552.7228314695,894084.0793830358
2024-03-04,867353.2333870856,897712.9675302234
2024-03-05,858544.4944329694,900219.7536042249
2024-03-06,861251.0371123573,897897.5723724824
2024-03-07,852248.2913828801,894196.6144948767
2024-03-08,858078.4547606698,899695.7712199574
2024-03-11,844829.7730003338,906322.6420054288
2024-03-12,837205.6614876721,902624.6378052995
2024-03-13,835272.5281717632,899050.6880591679
2024-03-14,835377.0855229081,897396.3333047811
2024-03-15,832191.5762781588,902240.9551011487
2024-03-18,838995.4191554239,911187.6441763818
2024-03-19,836177.3713252305,904639.3412117757
2024-03-20,837500.1405052342,909639.9171788836
2024-03-21,845759.2467763788,908879.9359642722
2024-03-22,841867.5565538392,900290.9372313999
2024-03-25,830448.6311842828,893873.1868112393
2024-03-26,829439.244298995,895401.7149051427
2024-03-27,827567.607487217,884076.7247261204
2024-03-28,830524.5665744029,889253.0445030585
2024-03-29,834345.2180177971,898262.6469085334
2024-04-01,833181.6043556571,908958.5037851377
2024-04-02,831080.392475625,908243.7138359112
2024-04-03,826611.9573325221,906571.0462811722
2024-04-08,835053.6972667782,900001.1814709904
2024-04-09,839481.9135838138,900439.5072084498
2024-04-10,837937.8117347375,894177.1202235343
2024-04-11,830253.267289531,896218.4067272958
2024-04-12,842526.3390684341,891855.2343595393
2024-04-15,832878.2359545329,903050.8534651067
2024-04-16,819327.2790733234,888190.9020826381
2024-04-17,822528.5282627979,907186.8880349478
2024-04-18,822573.1594700073,908026.9139091626
2024-04-19,818294.2532423822,905379.2374195491
2024-04-22,800873.6997612141,899275.1675473547
2024-04-23,778116.0460817623,892594.8351995652
2024-04-24,778116.0460817623,899342.2160260632
2024-04-25,778116.0460817623,901728.1966912905
2024-04-26,778116.0460817623,912283.4585200304
2024-04-29,778116.0460817623,919492.4991360493
2024-04-30,778116.0460817623,917065.166986156
2024-05-06,778116.0460817623,927667.3922867666
2024-05-07,778116.0460817623,929740.2831395228
2024-05-08,778116.0460817623,924052.0910559692
2024-05-09,778116.0460817623,931684.3936543193
2024-05-10,778116.0460817623,931751.4421330277
2024-05-13,778116.0460817623,929823.8722120977
2024-05-14,778116.0460817623,929160.1808832086
2024-05-15,778116.0460817623,921518.426516935
2024-05-16,778116.0460817623,922256.5505182226
2024-05-17,778116.0460817623,931597.5555365207
2024-05-20,778116.0460817623,936653.9560079277
2024-05-21,778116.0460817623,932761.3044621205
2024-05-22,778116.0460817623,932930.8455492511
2024-05-23,778116.0460817623,920480.2088840711
2024-05-24,778116.0460817623,912352.8699407197
2024-05-27,792699.925962464,922741.5443598052
2024-05-28,790453.7557885328,918467.2776840805
2024-05-29,788082.2007121497,918894.3794471306
2024-05-30,770349.1735093864,913181.9672082727
2024-05-31,769807.2464779567,911745.0031161297
2024-06-03,765135.955901838,909286.3619849894
2024-06-04,772549.7289336962,913040.4860571654
2024-06-05,765672.7610973764,905421.1796397103
2024-06-06,772409.0506505806,900515.4167195867
2024-06-07,777720.3887823608,901249.4055724079
2024-06-11,763501.9306497573,894386.8313243404
2024-06-12,765312.1994094654,897170.0816101086
2024-06-13,767122.7564861457,894644.9827357552
2024-06-14,765148.4463923358,895741.9785503941
2024-06-17,760411.2373411632,890796.9317198377
2024-06-18,767682.1276065728,895036.9357368392
2024-06-19,770517.8205294341,891434.3353191891
2024-06-20,774229.0076442669,887709.1572862791
2024-06-21,767308.1448687426,885553.2680964434
2024-06-24,760735.5120413553,875203.8775877907
2024-06-25,758879.9858029675,871333.6739908021
2024-06-26,765215.6503201518,877988.0139768018
2024-06-27,761589.809239816,870109.6700446891
2024-06-28,771740.0470472475,876475.140373522
2024-07-01,776787.8493403612,884546.6548125744
2024-07-02,777626.338712517,885220.3886448822
2024-07-03,786550.7430647677,880897.681658549
2024-07-04,786927.9505794336,873569.9032079891
2024-07-05,788642.9409505752,871315.0658227026
2024-07-08,792430.3660656549,863197.4740150223
2024-07-09,796879.5913278367,874103.0419924326
2024-07-10,786735.7329489684,868193.3240981684
2024-07-11,794260.4857819846,877356.5177324028
2024-07-12,780823.4560164957,877624.7116472365
2024-07-15,792131.871834986,878426.9304497564
2024-07-16,789632.9245954495,879104.2086950357
2024-07-17,788689.7224150054,875131.8078573728
2024-07-18,782773.3411992582,879349.0685578078
2024-07-19,768369.6647661311,880877.8920194589
2024-07-22,759755.6714656624,875533.8033618756
2024-07-23,765409.348633495,861105.9749941665
2024-07-24,762196.9512186736,857143.0259244272
2024-07-25,746836.1357314782,852650.4824832157
2024-07-26,744899.0273679135,853877.7354745526
2024-07-29,756541.5883040045,854157.7440992907
2024-07-30,749084.7218244611,850452.355705471
2024-07-31,747163.8066279972,868011.6729333857
2024-08-01,756687.3722701694,866132.5433230645
2024-08-02,735246.4012155954,858143.1411178488
2024-08-05,709776.5243524695,844957.9248643523
2024-08-06,709776.5243524695,846903.2168501392
2024-08-07,709776.5243524695,847656.4046065554
2024-08-08,709776.5243524695,847676.1942456454
2024-08-09,709776.5243524695,845399.7950147832
2024-08-12,709776.5243524695,844221.5730695501
2024-08-13,709776.5243524695,847098.7502990598
2024-08-14,709776.5243524695,841991.2512073157
2024-08-15,709776.5243524695,849878.7515396044
2024-08-16,709776.5243524695,850490.7535126609
2024-08-19,709776.5243524695,854697.9717096771
2024-08-20,709776.5243524695,846719.2027433757
2024-08-21,709776.5243524695,843742.7819506676
2024-08-22,709776.5243524695,841435.3691063058
2024-08-23,709776.5243524695,843088.2470219546
2024-08-26,709776.5243524695,843428.5106672061
2024-08-27,709776.5243524695,841423.2590286536
2024-08-28,709776.5243524695,838085.0127451182
2024-08-29,709776.5243524695,833854.4604960406
2024-08-30,709776.5243524695,839498.347417452
2024-09-02,709776.5243524695,830289.0764145899
2024-09-03,709776.5243524695,827909.5938398102
2024-09-04,709776.5243524695,822385.9215916777
2024-09-05,709776.5243524695,823578.0258210484
2024-09-06,709776.5243524695,816930.1839254963
2024-09-09,703231.9347966178,808270.2969331966
2024-09-10,703141.1971582087,810545.8100608161
2024-09-11,705809.1268223694,803930.4586175017
2024-09-12,708401.816121324,802550.5005006484
2024-09-13,715924.9264383144,798700.9726459929
2024-09-18,720170.1111143042,802597.1686047714
2024-09-19,726365.4391302948,808132.6555628084
2024-09-20,732029.1264111594,808366.5868189188
2024-09-23,732447.1394878852,811941.7180360408
2024-09-24,744044.5026137463,845675.0777555596
2024-09-25,751302.8976079858,855475.3796213976
2024-09-26,776077.3661048373,886384.7283059774
2024-09-27,813274.962717734,911956.4864234214
2024-09-30,892440.0845588583,985493.6038114254
2024-10-08,949901.4824367198,1030766.9814302296
2024-10-09,875112.6695731241,962561.5472544092
2024-10-10,863893.6315453439,975282.4454086559
2024-10-11,849507.3884288558,950416.0254725144
2024-10-14,849507.3884288558,970083.0869474037
2024-10-15,849507.3884288558,945558.4074952519
2024-10-16,849507.3884288558,946047.536485301
2024-10-17,849507.3884288558,936133.8134043791
2024-10-18,849507.3884288558,963360.5170117054
2024-10-21,849507.3884288558,965294.2896553354
2024-10-22,849507.3884288558,970539.1347497202
2024-10-23,849507.3884288558,975541.4829233135
2024-10-24,849507.3884288558,968883.8938920903
2024-10-25,849507.3884288558,974624.9568024669
2024-10-28,849507.3884288558,981270.1403882904
2024-10-29,849507.3884288558,970698.6333334318
2024-10-30,849507.3884288558,964741.3612318016
2024-10-31,849507.3884288558,968754.2274508877
2024-11-01,849507.3884288558,966447.4053420211
2024-11-04,849507.3884288558,977728.3857266488
2024-11-05,849507.3884288558,1000406.7213884647
2024-11-06,849507.3884288558,999467.1565833039
2024-11-07,849507.3884288558,1025121.3223023325
2024-11-08,849507.3884288558,1019697.1889851459
2024-11-11,849507.3884288558,1024945.5784925019
2024-11-12,849507.3884288558,1010739.571303251
2024-11-13,849507.3884288558,1015851.796278957
2024-11-14,849507.3884288558,998295.4327285186
2024-11-15,849507.3884288558,983789.0365399441
2024-11-18,830291.6219142237,981757.7925396014
2024-11-19,850329.1433832055,988303.437194479
2024-11-20,856431.494684188,994795.3249192907
2024-11-21,862653.4008031317,995508.638029779
2024-11-22,829402.9874526891,965023.1420630255
2024-11-25,828721.8981557707,964009.4399532138
2024-11-26,818909.5262635719,962827.0828595143
2024-11-27,842703.9504088117,977601.96833067
2024-11-28,838577.0208710417,973442.8950765149
2024-11-29,863367.5538862098,982527.8162576315
2024-12-02,874550.46604894,993611.7863546008
2024-12-03,876142.8404020645,997990.3178452331
2024-12-04,861990.9297979543,993809.092010007
2024-12-05,874381.8074135561,995051.1133887246
2024-12-06,882511.0873261977,1005454.2608274432
2024-12-09,869680.5353764613,1004998.8037606222
2024-12-10,882360.9206455712,1010943.6704168525
2024-12-11,880834.9321394052,1013846.840008152
2024-12-12,890885.3646338707,1022415.4583664391
2024-12-13,862020.739915906,1001851.3650420455
2024-12-16,845308.1663288363,1000212.96014603
2024-12-17,835056.5534291912,992874.2530888082
2024-12-18,838116.3505870042,998995.1589226166
2024-12-19,837274.2201694646,995399.0565954141
2024-12-20,839573.1274865367,994818.9543390998
2024-12-23,822655.4601688329,989853.2317662105
2024-12-24,831120.6032831891,1002338.7218256088
2024-12-25,823130.7946997196,1002286.1463665336
2024-12-26,826694.1040599484,1003682.3497095058
2024-12-27,827621.5306114587,1004292.2841083291
2024-12-30,827028.6386736454,1006414.2060071892
2024-12-31,796316.2809652645,990002.6878465032
2025-01-02,796316.2809652645,963655.2940238243
2025-01-03,796316.2809652645,948552.8457205644
2025-01-06,796316.2809652645,947221.6232820672
2025-01-07,796316.2809652645,953932.6738756087
2025-01-08,796316.2809652645,954087.4465753586
2025-01-09,796316.2809652645,948541.9171139026
2025-01-10,796316.2809652645,935879.7971414309
2025-01-13,796316.2809652645,933585.0851102164
2025-01-14,796316.2809652645,957269.1479526584
2025-01-15,796316.2809652645,953186.2795773878
2025-01-16,796316.2809652645,955819.4830473682
2025-01-17,796316.2809652645,957529.3669383065
2025-01-20,796316.2809652645,958284.6222689559
2025-01-21,796316.2809652645,957766.2518718932
2025-01-22,796316.2809652645,949200.8825588297
2025-01-23,796316.2809652645,954086.2651043682
2025-01-24,796316.2809652645,960720.8154512777
2025-01-27,796316.2809652645,960122.6957623588
2025-02-05,796316.2809652645,953886.596506981
2025-02-06,796316.2809652645,966047.1820440039
2025-02-07,796316.2809652645,975796.6806572522
2025-02-10,812293.7921838427,981261.8700913573
2025-02-11,799920.0649428638,980047.0225454201
2025-02-12,825216.4621952535,988414.2000998342
2025-02-13,814669.7413213067,984307.9976725022
2025-02-14,832859.0148789951,988514.3297662755
2025-02-17,835164.6208937463,991203.94847605
2025-02-18,807402.4868297164,981947.4186335697
2025-02-19,826120.8921459424,989936.5254710377
2025-02-20,820524.5800786668,989713.2274538414
2025-02-21,854462.056202066,998080.9957437506
2025-02-24,851788.4671139166,996283.6829995185
2025-02-25,837121.8071967327,988312.2982269074
2025-02-26,847255.0229824014,998406.1956338739
2025-02-27,830329.3087119653,1000724.2417171499
2025-02-28,789719.5817320925,980885.8669486443
2025-03-03,789910.2279030557,979712.666255121
2025-03-04,794495.9399416966,981864.4202964901
2025-03-05,806923.9261182946,987108.6746553796
2025-03-06,842219.8966815947,998667.3007227648
2025-03-07,831314.7646443603,996141.3157451684
2025-03-10,818491.6607226668,994255.9834121473
2025-03-11,821144.3530267384,998292.1836832949
2025-03-12,814585.610579294,995957.5970061525
2025-03-13,800078.6347848055,992060.2195763835
2025-03-14,819142.733267784,1010028.3257669962
2025-03-17,817640.8736893367,1011968.0057655785
2025-03-18,833158.7797641993,1013040.1906894178
2025-03-19,829710.0594233711,1012056.6160898628
2025-03-20,809931.044626127,1006893.2924938194
2025-03-21,787987.5629699499,993862.5535723253
2025-03-24,783971.1315847642,995397.579756676
2025-03-25,765213.7315714192,995382.2206338001
2025-03-26,765213.7315714192,995004.4452846017
2025-03-27,765213.7315714192,996496.6431455483
