date,nav,benchmark_nav
2020-01-02,1079612.2512578738,1075337.829595162
2020-01-03,1079612.2512578738,1074845.6806259912
2020-01-06,1079612.2512578738,1074713.9296979834
2020-01-07,1079612.2512578738,1082170.753385267
2020-01-08,1079612.2512578738,1068957.6689147975
2020-01-09,1079612.2512578738,1078713.1628936406
2020-01-10,1079612.2512578738,1077810.0765061607
2020-01-13,1079612.2512578738,1085923.9120963383
2020-01-14,1079612.2512578738,1082874.1220961642
2020-01-15,1079612.2512578738,1077024.7991495442
2020-01-16,1079612.2512578738,1071463.0278315123
2020-01-17,1079612.2512578738,1071956.2224429687
2020-01-20,1079612.2512578738,1079028.5983165158
2020-01-21,1079612.2512578738,1063816.2457956467
2020-01-22,1079612.2512578738,1066818.2847981039
2020-01-23,1079612.2512578738,1037461.1805301405
2020-02-03,1079612.2512578738,957322.4586535613
2020-02-04,1079612.2512578738,970107.875429149
2020-02-05,1079612.2512578738,982237.3259441279
2020-02-06,1079612.2512578738,999114.689531378
2020-02-07,1079612.2512578738,1002409.8569212805
2020-02-10,1049890.12785909,1007472.1597741412
2020-02-11,1059843.169221012,1011371.011310364
2020-02-12,1092629.658413225,1020163.1201965807
2020-02-13,1138296.5540738076,1012904.619996166
2020-02-14,1155275.2716912036,1016715.6375803837
2020-02-17,1189763.2074498413,1039933.7759885676
2020-02-18,1245305.2878196107,1040404.315017166
2020-02-19,1261090.9317141767,1037068.7161255467
2020-02-20,1295585.4868911915,1056152.3849357802
2020-02-21,1335926.5768439714,1059468.8137188265
2020-02-24,1411926.1457123938,1056528.46761123
2020-02-25,1431219.614874692,1050190.829717154
2020-02-26,1290903.4755125244,1041434.9697635106
2020-02-27,1251605.6020818264,1042620.0310207212
2020-02-28,1251605.6020818264,1003922.5527613669
2020-03-02,1251605.6020818264,1035510.3605723148
2020-03-03,1251605.6020818264,1043166.5533887522
2020-03-04,1251605.6020818264,1049708.4400759833
2020-03-05,1251605.6020818264,1070625.1198131787
2020-03-06,1251605.6020818264,1057671.0060821525
2020-03-09,1251605.6020818264,1025876.50964605
2020-03-10,1251605.6020818264,1044513.689200258
2020-03-11,1251605.6020818264,1034668.9670796951
2020-03-12,1251605.6020818264,1018973.5278227985
2020-03-13,1251605.6020818264,1006405.2560952232
2020-03-16,1251605.6020818264,972187.309388125
2020-03-17,1251605.6020818264,968836.7229570764
2020-03-18,1251605.6020818264,951100.8870532056
2020-03-19,1251605.6020818264,941820.4632195326
2020-03-20,1251605.6020818264,956978.0937941129
2020-03-23,1251605.6020818264,927194.3674735539
2020-03-24,1251605.6020818264,948898.7643993656
2020-03-25,1251605.6020818264,969516.3904428295
2020-03-26,1251605.6020818264,963702.6193339259
2020-03-27,1251605.6020818264,966244.2271832139
2020-03-30,1223311.4815532502,957534.3754901447
2020-03-31,1244262.6670320581,958608.5986650632
