date,nav,benchmark_nav
2024-01-02,1017536.8029242276,908685.0478794365
2024-01-03,1017536.8029242276,910209.9136829635
2024-01-04,1017536.8029242276,906253.4222056167
2024-01-05,1017536.8029242276,898533.69321516
2024-01-08,1017536.8029242276,885758.9926744478
2024-01-09,1017536.8029242276,887511.4687025206
2024-01-10,1017536.8029242276,882741.7768137575
2024-01-11,1017536.8029242276,885486.5966105709
2024-01-12,1017536.8029242276,884053.1429996513
2024-01-15,1017536.8029242276,885376.4725261884
2024-01-16,1017536.8029242276,887737.8519177695
2024-01-17,1017536.8029242276,869217.9870973837
2024-01-18,1017536.8029242276,872950.8561303993
2024-01-19,1017536.8029242276,868808.1659922717
2024-01-22,1070613.6329021421,845513.7012459361
2024-01-23,1075778.7943383055,850003.3282627175
2024-01-24,1024127.1799766696,865278.3669978672
2024-01-25,1002728.6540268491,891455.6900868998
2024-01-26,994611.9717700206,892717.6691485997
2024-01-29,1000302.0808849849,884476.1544547034
2024-01-30,1016077.052681496,868270.7359202985
2024-01-31,993992.0921663805,855393.580103308
2024-02-01,984527.109088474,849930.9347142095
2024-02-02,1008978.315373066,837480.4713801616
2024-02-05,1000828.8952913429,828901.5291296609
2024-02-06,984743.7337419171,855681.3137833942
2024-02-07,985474.8774487092,868015.8247389002
2024-02-08,1013989.4820136002,879122.4061406907
2024-02-19,1041041.799164907,892816.1366446633
2024-02-20,1037386.0806309467,896554.22046719
2024-02-21,1031536.93097661,905212.6115696548
2024-02-22,1058589.2481279168,916685.7619988474
2024-02-23,1068825.2600230058,921754.2306513671
2024-02-26,1066630.0009280609,913208.4176518784
2024-02-27,1065900.9250344571,925005.8052877353
2024-02-28,1065171.8491408534,907327.9755972391
2024-02-29,1067359.0768216643,924910.7120672376
2024-03-01,1093605.8089913973,928545.4203565138
2024-03-04,1118389.1992971213,932314.1794114589
2024-03-05,1120576.410915104,934917.5863868227
2024-03-06,1131512.469005018,932505.899614075
2024-03-07,1117660.1287577937,928662.2929920284
2024-03-08,1127138.0457690523,934373.4077637172
2024-03-11,1100157.5506617618,941255.702909147
2024-03-12,1099428.4833617818,937415.1638103424
2024-03-13,1090679.6757620221,933703.4606876959
2024-03-14,1096512.214161862,931985.3409199318
2024-03-15,1076827.3970624025,937016.6925412252
2024-03-18,1098494.6506483832,946308.2204408091
2024-03-19,1093159.4199445231,939507.5214136129
2024-03-20,1086045.7790060432,944700.8382620764
2024-03-21,1077153.7278329432,943911.5645319466
2024-03-22,1066483.2664252233,934991.5136969514
2024-03-25,1046085.0815483422,928326.3991970451
2024-03-26,1022149.0481373025,929913.8424747061
2024-03-27,980782.2632844897,918152.344860779
2024-03-28,980782.2632844897,923528.179342133
2024-03-29,980782.2632844897,932885.0454867685
2024-04-01,980782.2632844897,943993.1606501801
2024-04-02,980782.2632844897,943250.8200256507
2024-04-03,980782.2632844897,941513.6816137871
2024-04-08,980782.2632844897,934690.5896669253
2024-04-09,980782.2632844897,935145.8101160168
2024-04-10,980782.2632844897,928642.0473386322
2024-04-11,980782.2632844897,930762.0126510793
2024-04-12,980782.2632844897,926230.6673182087
2024-04-15,980782.2632844897,937857.8074141424
2024-04-16,980782.2632844897,922425.0979843612
2024-04-17,980782.2632844897,942153.2602097143
2024-04-18,980782.2632844897,943025.6638196983
2024-04-19,980782.2632844897,940275.935985698
2024-04-22,980782.2632844897,933936.5924540769
2024-04-23,980782.2632844897,926998.7751379695
2024-04-24,980782.2632844897,934006.225231667
2024-04-25,980782.2632844897,936484.1705064389
2024-04-26,980782.2632844897,947446.2715635381
2024-04-29,973887.4091709391,954933.1755399378
2024-04-30,964847.9413065659,952412.2849397799
2024-05-06,972079.5155980644,963423.1596164247
2024-05-07,979311.089889563,965575.9474275596
2024-05-08,972079.5155980644,959668.511168392
2024-05-09,995582.1320454348,967594.9912253498
2024-05-10,1002813.7063369333,967664.6240029399
2024-05-13,990170.5187920558,965662.7583353043
2024-05-14,996488.8769777971,964973.4858628591
2024-05-15,985657.4058022407,957037.1897315274
2024-05-16,980241.6702144626,957803.7637896673
2024-05-17,993781.009183908,967504.8060420392
2024-05-20,992290.327963372,972756.0990797738
2024-05-21,992290.327963372,968713.4101993308
2024-05-22,992290.327963372,968889.4860334133
2024-05-23,992290.327963372,955958.9553120148
2024-05-24,992290.327963372,947518.3583597217
2024-05-27,1019748.5181413037,958307.4511059802
2024-05-28,1015117.0580341234,953868.4382226894
2024-05-29,1009327.7329001481,954312.0020834618
2024-05-30,985012.5673374516,948379.4121337109
2024-05-31,985012.5673374516,946887.0620765478
2024-06-03,993098.9051594271,944333.6557300262
2024-06-04,1003503.9674904564,948232.477770426
2024-06-05,989630.5510490839,940319.4948157322
2024-06-06,993098.9051594271,935224.6454633325
2024-06-07,1001191.7314168944,935986.924988934
2024-06-11,978064.5140412326,928859.8414888041
2024-06-12,971127.8507750648,931750.3686396056
2024-06-13,969971.7402307035,929127.9430201423
2024-06-14,978064.5140412326,930267.2211521679
2024-06-17,976597.4097604381,925131.5737406514
2024-06-18,976597.4097604381,929535.0033543367
2024-06-19,976597.4097604381,925793.545256244
2024-06-20,976597.4097604381,921924.7849436143
2024-06-21,976597.4097604381,919685.7997293831
2024-06-24,976597.4097604381,908937.5050422414
2024-06-25,976597.4097604381,904918.1293384365
2024-06-26,976597.4097604381,911828.9524500155
2024-06-27,976597.4097604381,903646.947707011
2024-06-28,976597.4097604381,910257.7670455364
2024-07-01,973808.3137681562,918640.3878085584
2024-07-02,974470.4137069768,919340.0898600259
2024-07-03,992347.1120551339,914850.7695955687
2024-07-04,998306.0115045197,907240.5511848462
2024-07-05,1010885.9103421118,904898.8039420128
2024-07-08,1026085.708322301,896468.3298164179
2024-07-09,1036663.978149295,907794.2391300014
2024-07-10,1023441.1408655525,901656.7386276944
2024-07-11,1028069.1339148623,911173.1159809065
2024-07-12,986417.1964710735,911451.6470912672
2024-07-15,1003186.2791137375,912284.7864037554
2024-07-16,1001608.0115993838,912988.1694831132
2024-07-17,989771.005241731,908862.6574751401
2024-07-18,973988.3300981938,913242.467159863
2024-07-19,960573.0562261873,914830.2171898483
2024-07-22,958720.8842325603,909280.1473883567
2024-07-23,912883.7648902191,894296.2166088592
2024-07-24,912883.7648902191,890180.5206752601
2024-07-25,912883.7648902191,885514.817824396
2024-07-26,912883.7648902191,886789.3737313874
2024-07-29,912883.7648902191,887080.1749347155
2024-07-30,912883.7648902191,883231.9670278062
2024-07-31,912883.7648902191,901468.0859483202
2024-08-01,912883.7648902191,899516.5276618511
2024-08-02,912883.7648902191,891219.1840449529
2024-08-05,912883.7648902191,877525.7602933043
2024-08-06,912883.7648902191,879546.0311003912
2024-08-07,912883.7648902191,880328.2495270646
2024-08-08,912883.7648902191,880348.8019327851
2024-08-09,912883.7648902191,877984.6617702862
2024-08-12,912883.7648902191,876761.0267491095
2024-08-13,912883.7648902191,879749.101139002
2024-08-14,912883.7648902191,874444.7399491835
2024-08-15,912883.7648902191,882636.2540142378
2024-08-16,912883.7648902191,883271.8448299504
2024-08-19,912883.7648902191,887641.2249356512
2024-08-20,912883.7648902191,879354.9244024236
2024-08-21,912883.7648902191,876263.7812316044
2024-08-22,912883.7648902191,873867.432075066
2024-08-23,912883.7648902191,875584.018081209
2024-08-26,921090.1430704035,875937.3967586709
2024-08-27,893958.9822257643,873854.8552297745
2024-08-28,884383.2783982445,870387.940461828
2024-08-29,889171.1303120044,865994.3269225167
2024-08-30,933857.7481737632,871855.7503330564
2024-09-02,905166.328562915,862291.5196172713
2024-09-03,917915.2398007821,859820.3228936314
2024-09-04,909947.1702771151,854083.7476790352
2024-09-05,927476.9232291824,855321.8000594486
2024-09-06,913931.2050389487,848417.7254990017
2024-09-09,905958.1846762581,839424.0541062019
2024-09-10,897990.1706828933,841787.2740117284
2024-09-11,900380.5748809027,834916.9422069419
2024-09-12,901974.1776795756,833483.7953483465
2024-09-13,909942.1916729405,829485.8923072346
2024-09-18,931450.7060844079,833532.2622155678
2024-09-19,955354.6165486708,839281.1075231314
2024-09-20,969696.9628272286,839524.0553638865
2024-09-23,961921.1293605864,843236.98549583
2024-09-24,1008155.1125317715,878270.5549364273
2024-09-25,1020930.2920922308,888448.5970529078
2024-09-26,1053780.7538191255,920549.3075219658
2024-09-27,1124956.7542273977,947106.6967406647
2024-09-30,1233779.856299385,1023478.2093885231
2024-10-08,1207379.3066564994,1070496.5921350545
2024-10-09,1084742.1534278856,999662.2656910716
2024-10-10,1084742.1534278856,1012873.4747891001
2024-10-11,1084742.1534278856,987048.6101205568
2024-10-14,1084742.1534278856,1007473.7136264598
2024-10-15,1084742.1534278856,982003.7613969992
2024-10-16,1084742.1534278856,982511.7432458507
2024-10-17,1084742.1534278856,972215.9082368828
2024-10-18,1084742.1534278856,1000492.0307279938
2024-10-21,1084742.1534278856,1002500.3381944376
2024-10-22,1084742.1534278856,1007947.3392150025
2024-10-23,1084742.1534278856,1013142.496577411
2024-10-24,1084742.1534278856,1006228.299190266
2024-10-25,1084742.1534278856,1012190.6441154629
2024-10-28,1084742.1534278856,1019091.9579049919
2024-10-29,1084742.1534278856,1008112.9854700628
2024-10-30,1084742.1534278856,1001926.0978435618
2024-10-31,1084742.1534278856,1006093.6349199485
2024-11-01,1084742.1534278856,1003697.8992680582
2024-11-04,1084742.1534278856,1015413.6907856817
2024-11-05,1084742.1534278856,1038966.1342366576
2024-11-06,1084742.1534278856,1037990.355093423
2024-11-07,1084742.1534278856,1064633.3282105695
2024-11-08,1084742.1534278856,1059000.1285292238
2024-11-11,1120083.8310769005,1064450.8105776792
2024-11-12,1116678.8108643466,1049697.250793645
2024-11-13,1125921.008584136,1055006.5200206507
2024-11-14,1090411.512081788,1036773.4686233785
2024-11-15,1052956.2897436952,1021707.9417256477
2024-11-18,1038379.2342668528,1019598.4059922227
2024-11-19,1076262.348012244,1026396.3442485014
2024-11-20,1073348.2623395217,1033138.4535817782
2024-11-21,1072862.581394068,1033879.2604446867
2024-11-22,1034493.786703223,1002218.7395608351
2024-11-25,1022260.3434491903,1001165.9655842298
2024-11-26,1007398.5374292852,999938.0360305145
2024-11-27,1007398.5374292852,1015282.4007909303
2024-11-28,1007398.5374292852,1010963.0213140717
2024-11-29,1007398.5374292852,1020398.1093013748
2024-12-02,1007398.5374292852,1031909.2970187662
