date,code,name,weight,value,qty,price
2024-01-05,CASH,,1.0,1017536.8029242276,,
2024-01-12,CASH,,1.0,1017536.8029242276,,
2024-01-19,513000,欧洲ETF,1.0015022533800702,1017536.8029242277,737880.2051662274,1.379
2024-01-19,CASH,,-0.0015022533800702353,-1526.3052043864736,,
2024-01-26,513100,纳斯达克100ETF,1.0030113428204468,994611.9717700206,788748.5898255516,1.261
2024-01-26,CASH,,-0.0030113428204466956,-2986.1253731166944,,
2024-02-02,513000,欧洲ETF,1.0030134931878067,1008978.3153730659,731143.7067920768,1.38
2024-02-02,CASH,,-0.003013493187806714,-3031.41413417866,,
2024-02-23,513000,欧洲ETF,1.0000075143007794,1068825.2600230058,729075.8936036874,1.466
2024-02-23,CASH,,-7.5143007793931924e-06,-8.031414133964518,,
2024-03-01,513000,欧洲ETF,1.0000045793962569,1093605.8089913973,729070.5393275982,1.5
2024-03-01,CASH,,-4.579396256711218e-06,-5.008031414252535,,
2024-03-08,513000,欧洲ETF,1.000004440476723,1127138.0457690523,729067.2999799821,1.546
2024-03-08,CASH,,-4.44047672296621e-06,-5.005008031185438,,
2024-03-15,515880,国泰中证全指通信设备ETF,1.0030090340951445,1076827.3970624025,889205.1173099937,1.211
2024-03-15,CASH,,-0.0030090340951446264,-3230.48969869921,,
2024-03-22,515880,国泰中证全指通信设备ETF,1.0000077174705655,1066483.2664252233,886519.7559644416,1.203
2024-03-22,CASH,,-7.717470565509797e-06,-8.230489698683414,,
2024-03-27,CASH,,1.0,980782.2632844897,,
2024-04-26,512400,南方中证申万有色金属ETF,1.0015022533800702,980782.2632844897,903946.7864373177,1.085
2024-04-26,CASH,,-0.0015022533800700772,-1471.1733949267073,,
2024-05-10,512400,南方中证申万有色金属ETF,1.0000064530581432,1002813.7063369333,902622.5979630363,1.111
2024-05-10,CASH,,-6.4530581432019305e-06,-6.471173394933885,,
2024-05-17,CASH,,1.0,992290.327963372,,
2024-05-24,513690,华夏中证港股通红利ETF,1.00150225338007,992290.3279633719,1157865.0267950664,0.857
2024-05-24,CASH,,-0.0015022533800699417,-1488.435491944896,,
2024-05-31,513690,华夏中证港股通红利ETF,1.0000065872035016,985012.5673374516,1156118.0367810465,0.852
2024-05-31,CASH,,-6.58720350145409e-06,-6.488435491896553,,
2024-06-07,513690,华夏中证港股通红利ETF,1.0000050005541532,1001191.7314168944,1156110.5443613098,0.866
2024-06-07,CASH,,-5.000554153143022e-06,-5.006488435412666,,
2024-06-14,CASH,,1.0,976597.4097604381,,
2024-06-21,CASH,,1.0,976597.4097604381,,
2024-06-28,513100,纳斯达克100ETF,1.0015022533800702,976597.4097604381,662099.938820636,1.475
2024-06-28,CASH,,-0.0015022533800700837,-1464.8961146406364,,
2024-07-05,513100,纳斯达克100ETF,1.000006395318595,1010885.9103421117,661141.8641871235,1.529
2024-07-05,CASH,,-6.395318594856961e-06,-6.464896114619478,,
2024-07-12,159513,博时半导体ETF,1.0030090369713707,986417.1964710735,789133.7571768588,1.25
2024-07-12,CASH,,-0.0030090369713706225,-2959.2612867574207,,
2024-07-19,159995,国联安中证全指半导体ETF,1.0030136760418642,960573.0562261873,1033986.0669819022,0.929
2024-07-19,CASH,,-0.0030136760418641344,-2886.158060608781,,
2024-07-23,CASH,,1.0,912883.7648902191,,
2024-08-23,512200,华夏中证全指房地产ETF,1.0015022533800702,912883.7648902191,797975.3189599818,1.144
2024-08-23,CASH,,-0.001502253380070165,-1369.325647335383,,
2024-08-30,512200,华夏中证全指房地产ETF,1.0000068204917736,933857.7481737632,796806.9523666921,1.172
2024-08-30,CASH,,-6.820491773647967e-06,-6.369325647243386,,
2024-09-06,512200,华夏中证全指房地产ETF,1.0000054778704592,913931.2050389487,796801.3993364853,1.147
