date,code,name,weight,value,qty,price
2018-01-05,CASH,,1.0,1000000.0,,
2018-01-12,CASH,,1.0,1000000.0,,
2018-01-19,CASH,,1.0,1000000.0,,
2018-01-26,CASH,,1.0,1000000.0,,
2018-02-02,CASH,,1.0,1000000.0,,
2018-02-09,CASH,,1.0,1000000.0,,
2018-02-23,159915,易方达创业板ETF,1.0015022533800702,1000000.0,636132.3155216285,1.572
2018-02-23,CASH,,-0.0015022533800701052,-1500.0,,
2018-03-02,159915,易方达创业板ETF,1.0000061309283252,1060204.834605598,635233.5737600946,1.669
2018-03-02,CASH,,-6.130928325171324e-06,-6.499999999932925,,
2018-03-09,159915,易方达创业板ETF,1.0000044908457524,1114828.4219489659,635229.8700563909,1.755
2018-03-09,CASH,,-4.490845752382344e-06,-5.006499999925366,,
2018-03-16,159915,易方达创业板ETF,1.0000045915618585,1090049.4505167669,635226.9525155984,1.716
2018-03-16,CASH,,-4.5915618584393735e-06,-5.005006500008637,,
2018-03-23,159915,易方达创业板ETF,1.0000048576807452,1030333.1119738007,635223.8668149202,1.622
2018-03-23,CASH,,-4.857680745249127e-06,-5.005005006511294,,
2018-03-30,159915,易方达创业板ETF,1.0000043993239633,1137680.9404605157,635221.0722839284,1.791
2018-03-30,CASH,,-4.3993239631764244e-06,-5.005005005178582,,
2018-04-13,159915,易方达创业板ETF,1.000004578283963,1093210.4603956356,635218.1640881089,1.721
2018-04-13,CASH,,-4.578283963175637e-06,-5.005005004871044,,
2018-04-20,159915,易方达创业板ETF,1.0000046788980759,1069702.3833193707,635215.1919948757,1.684
2018-04-20,CASH,,-4.678898075789102e-06,-5.005005005071732,,
2018-04-27,159915,易方达创业板ETF,1.0000046158759417,1084307.3277302478,635212.259947421,1.707
2018-04-27,CASH,,-4.615875941708287e-06,-5.005005005005863,,
2018-05-04,159915,易方达创业板ETF,1.0000046024161158,1087478.3840249798,635209.3364631891,1.712
2018-05-04,CASH,,-4.602416115658522e-06,-5.005005004951159,,
2018-05-11,159915,易方达创业板ETF,1.0000045440436758,1101447.9844221647,635206.4500704525,1.734
2018-05-11,CASH,,-4.5440436756739004e-06,-5.005005004735963,,
2018-05-18,159915,易方达创业板ETF,1.000004551939724,1099537.3600669485,635203.5586753024,1.731
2018-05-18,CASH,,-4.551939724077249e-06,-5.005005004914671,,
2018-05-25,159915,易方达创业板ETF,1.0000046213751457,1083017.0625363858,635200.6231884961,1.705
2018-05-25,CASH,,-4.621375145670928e-06,-5.005005005137456,,
2018-06-01,159915,易方达创业板ETF,1.0000048638795422,1029020.0045603586,635197.5336792336,1.62
2018-06-01,CASH,,-4.863879542186566e-06,-5.0050050049404025,,
2018-06-08,159915,易方达创业板ETF,1.0000048639031998,1029014.9995553538,635194.4441699714,1.62
2018-06-08,CASH,,-4.86390319980052e-06,-5.0050050051201564,,
2018-06-11,CASH,,1.0,1015415.8806534449,,
2018-07-13,159915,易方达创业板ETF,1.0015022533800702,1015415.8806534449,658505.7591786283,1.542
2018-07-13,CASH,,-0.0015022533800701334,-1523.123820980196,,
2018-07-20,CASH,,1.0,1007767.0070077054,,
2018-07-27,159915,易方达创业板ETF,1.0015022533800702,1007767.0070077054,663878.1337336663,1.518
2018-07-27,CASH,,-0.0015022533800701408,-1511.650510511594,,
2018-08-03,CASH,,1.0,935803.9450672433,,
2018-08-10,CASH,,1.0,935803.9450672433,,
2018-08-17,CASH,,1.0,935803.9450672433,,
2018-08-24,CASH,,1.0,935803.9450672433,,
2018-08-31,CASH,,1.0,935803.9450672433,,
2018-09-07,CASH,,1.0,935803.9450672433,,
2018-09-14,CASH,,1.0,935803.9450672433,,
2018-09-21,CASH,,1.0,935803.9450672433,,
2018-09-28,CASH,,1.0,935803.9450672433,,
2018-10-12,CASH,,1.0,935803.9450672433,,
2018-10-19,CASH,,1.0,935803.9450672433,,
2018-10-26,159915,易方达创业板ETF,1.0015022533800702,935803.9450672433,777891.8911614657,1.203
2018-10-26,CASH,,-0.0015022533800701336,-1403.7059176008916,,
2018-11-02,159915,易方达创业板ETF,1.0000063855179073,1002854.7255718514,776804.5899084829,1.291
2018-11-02,CASH,,-6.3855179074011835e-06,-6.403705917682146,,
2018-11-09,159915,易方达创业板ETF,1.0000051150349085,978767.3795787707,776799.507602199,1.26
2018-11-09,CASH,,-5.115034908500106e-06,-5.006403705916864,,
2018-11-16,159915,易方达创业板ETF,1.0000048372181436,1034691.9377224232,776795.7490408582,1.332
2018-11-16,CASH,,-4.837218143477873e-06,-5.005006403753398,,
2018-11-23,159915,易方达创业板ETF,1.0000051628270281,969436.0897965874,776791.7386190604,1.248
2018-11-23,CASH,,-5.162827028077397e-06,-5.005005006420364,,
2018-11-30,159915,易方达创业板ETF,1.000005097500437,981859.7526094859,776787.7789632009,1.264
2018-11-30,CASH,,-5.097500437025241e-06,-5.005005005009149,,
2018-12-07,159915,易方达创业板ETF,1.0000050535473177,990399.413173076,776783.8534690792,1.275
2018-12-07,CASH,,-5.053547317786159e-06,-5.005005004948166,,
2018-12-14,159915,易方达创业板ETF,1.0000051629060904,969421.244124406,776779.8430484022,1.248
2018-12-14,CASH,,-5.1629060903492495e-06,-5.00500500503302,,
2018-12-21,159915,易方达创业板ETF,1.0000053119060073,942228.9446127069,776775.7169107229,1.213
2018-12-21,CASH,,-5.311906007290616e-06,-5.005005005015183,,
2018-12-27,CASH,,1.0,924522.7745707402,,
2019-01-25,CASH,,1.0,924522.7745707402,,
2019-02-01,159915,易方达创业板ETF,1.0015022533800702,924522.7745707402,757184.9095583457,1.221
2019-02-01,CASH,,-0.0015022533800701646,-1386.7841618561652,,
2019-02-15,159915,易方达创业板ETF,1.0000064875910681,984467.9680831099,756119.7911544623,1.302
2019-02-15,CASH,,-6.487591068189701e-06,-6.386784161810965,,
2019-02-22,159915,易方达创业板ETF,1.0000047092649729,1063098.039579012,756115.2486337213,1.406
2019-02-22,CASH,,-4.7092649728807656e-06,-5.006386784125728,,
2019-03-01,159915,易方达创业板ETF,0.5007511300106016,567083.9332818988,378055.9555212659,1.5
2019-03-01,512660,国泰中证军工ETF,0.5007511300106016,567083.9332818988,743229.270356355,0.763
2019-03-01,CASH,,-0.0015022600212031688,-1701.2593094258336,,
2019-03-08,159915,易方达创业板ETF,0.5000184961495894,583598.1122997918,368433.151704414,1.584
2019-03-08,512660,国泰中证军工ETF,0.5000184961495894,583598.1122997918,760884.1099084638,0.767
2019-03-08,CASH,,-3.6992299178870935e-05,-43.17567477335797,,
2019-03-15,159915,易方达创业板ETF,0.5000082901049828,590204.2381659795,371431.2386192445,1.589
2019-03-15,512660,国泰中证军工ETF,0.5000082901049828,590204.2381659795,754736.8774501017,0.782
2019-03-15,CASH,,-1.6580209965646412e-05,-19.57109588993353,,
2019-03-22,159915,易方达创业板ETF,0.5000063958812799,604816.8265266186,373113.40316262713,1.621
2019-03-22,512660,国泰中证军工ETF,0.5000063958812799,604816.8265266186,751325.2503436256,0.805
2019-03-22,CASH,,-1.2791762559896841e-05,-15.473148545475397,,
2019-03-29,159915,易方达创业板ETF,0.5000079424462521,610628.0368094951,376002.4857201324,1.624
2019-03-29,512660,国泰中证军工ETF,0.5000079424462521,610628.0368094951,745577.578521972,0.819
2019-03-29,CASH,,-1.5884892504242833e-05,-19.399213295173467,,
2019-04-12,159915,易方达创业板ETF,0.50000620455826,613227.8587276743,377603.36128551373,1.624
2019-04-12,512660,国泰中证军工ETF,0.50000620455826,613227.8587276743,742406.6086291458,0.826
2019-04-12,CASH,,-1.2409116519940824e-05,-15.21904304957252,,
2019-04-19,159915,易方达创业板ETF,0.5000055963916191,623124.3373686806,378798.9892818727,1.645
2019-04-19,512660,国泰中证军工ETF,0.5000055963916191,623124.3373686806,740052.6572074592,0.842
2019-04-19,CASH,,-1.1192783238286474e-05,-13.948835151048797,,
2019-04-26,159915,易方达创业板ETF,0.5000181029119684,587719.2272347627,369867.3550879564,1.589
2019-04-26,512660,国泰中证军工ETF,0.5000181029119684,587719.2272347627,758347.389980339,0.775
2019-04-26,CASH,,-3.620582393675833e-05,-42.55617694956891,,
2019-04-29,CASH,,1.0,1141444.411464065,,
2019-05-31,512660,国泰中证军工ETF,1.0015022533800702,1141444.411464065,1544579.7178133493,0.739
2019-05-31,CASH,,-0.0015022533800700662,-1712.1666171960533,,
2019-06-14,159915,易方达创业板ETF,1.003011376843101,1099573.172183722,787096.0430806886,1.397
2019-06-14,CASH,,-0.003011376843101066,-3301.2877664768603,,
2019-06-21,512660,国泰中证军工ETF,1.0030133362559455,1156091.1836913775,1562285.3833667263,0.74
2019-06-21,CASH,,-0.003013336255945411,-3473.2254827239085,,
2019-06-28,159915,易方达创业板ETF,1.003013586709309,1149493.3874419201,788945.3585737268,1.457
2019-06-28,CASH,,-0.0030135867093090602,-3453.69000054989,,
2019-07-05,159915,易方达创业板ETF,0.5007533403492541,586826.3924957253,393315.27647166577,1.492
2019-07-05,512660,国泰中证军工ETF,0.5007533403492541,586826.3924957253,754275.5687605724,0.778
2019-07-05,CASH,,-0.001506680698508192,-1765.6597124880645,,
2019-07-12,159915,易方达创业板ETF,0.5000100025416184,568942.5350913248,388356.67924322514,1.465
2019-07-12,512660,国泰中证军工ETF,0.5000100025416184,568942.5350913248,761636.5931610775,0.747
2019-07-12,CASH,,-2.000508323689309e-05,-22.76303016670863,,
2019-07-19,159915,易方达创业板ETF,0.5000044276853681,577197.8999706813,388423.8896168784,1.486
2019-07-19,512660,国泰中证军工ETF,0.5000044276853681,577197.8999706813,761474.8020721389,0.758
2019-07-19,CASH,,-8.855370736220871e-06,-10.2225122606811,,
2019-07-26,159915,易方达创业板ETF,0.5000074152884111,588691.7756314412,390897.593380771,1.506
2019-07-26,512660,国泰中证军工ETF,0.5000074152884111,588691.7756314412,756673.2334594359,0.778
2019-07-26,CASH,,-1.4830576822073901e-05,-17.461018249077824,,
2019-08-02,159915,易方达创业板ETF,0.5000103215614276,579760.7321875405,386249.65502167924,1.501
2019-08-02,512660,国泰中证军工ETF,0.5000103215614276,579760.7321875405,765866.2248184155,0.757
2019-08-02,CASH,,-2.0643122855098543e-05,-23.93564993565633,,
2019-08-09,159915,易方达创业板ETF,0.5000059442787486,558411.4047872436,385111.3136463749,1.45
2019-08-09,512660,国泰中证军工ETF,0.5000059442787486,558411.4047872436,768103.720477639,0.727
2019-08-09,CASH,,-1.1888557497129614e-05,-13.277254338330522,,
2019-08-16,159915,易方达创业板ETF,1.0014891554810141,1154512.3007348217,763566.3364648292,1.512
2019-08-16,CASH,,-0.0014891554810139637,-1716.6918993861182,,
2019-08-23,159915,易方达创业板ETF,0.5007522158950397,592814.4806517116,381231.17726798175,1.555
2019-08-23,512660,国泰中证军工ETF,0.5007522158950397,592814.4806517116,764921.9105183375,0.775
2019-08-23,CASH,,-0.0015044317900795745,-1781.0184798041591,,
2019-08-30,159915,易方达创业板ETF,0.5000175739971895,603783.9503588174,389789.5095925225,1.549
2019-08-30,512660,国泰中证军工ETF,0.5000175739971895,603783.9503588174,746333.6840034825,0.809
2019-08-30,CASH,,-3.514799437887936e-05,-42.44209803191552,,
2019-09-06,159915,易方达创业板ETF,0.5000048549772206,636909.7739351749,390502.6204384886,1.631
2019-09-06,512660,国泰中证军工ETF,0.5000048549772206,636909.7739351749,744923.712204883,0.855
2019-09-06,CASH,,-9.709954441313643e-06,-12.36860967763937,,
2019-09-20,159915,易方达创业板ETF,0.5000200301494394,622999.4127016708,380341.5217958918,1.638
2019-09-20,512660,国泰中证军工ETF,0.5000200301494394,622999.4127016708,765355.5438595464,0.814
2019-09-20,CASH,,-4.006029887893051e-05,-49.91308581531848,,
2019-09-27,159915,易方达创业板ETF,0.5000091964024924,597585.9587038473,376550.69861616084,1.587
2019-09-27,512660,国泰中证军工ETF,0.5000091964024924,597585.9587038473,773073.6852572409,0.773
2019-09-27,CASH,,-1.839280498491356e-05,-21.982159686748673,,
2019-10-11,159915,易方达创业板ETF,0.50000909823888,598832.9782050857,372872.34010279307,1.606
2019-10-11,512660,国泰中证军工ETF,0.50000909823888,598832.9782050857,780747.0380770349,0.767
2019-10-11,CASH,,-1.819647775977452e-05,-21.7929053853386,,
2019-10-18,159915,易方达创业板ETF,1.001483301406597,1170225.1636949587,736453.8475109872,1.589
2019-10-18,CASH,,-0.001483301406596878,-1733.2257351728622,,
2019-10-25,159915,易方达创业板ETF,1.0000056659363687,1188376.1918425825,735381.3068332812,1.616
2019-10-25,CASH,,-5.665936368775142e-06,-6.733225735118822,,
2019-11-01,159915,易方达创业板ETF,1.0000041897949286,1194987.890378347,735377.1633097519,1.625
2019-11-01,CASH,,-4.18979492868385e-06,-5.006733225760332,,
2019-11-08,159915,易方达创业板ETF,1.0000041374448618,1209690.426911316,735374.1197029278,1.645
2019-11-08,CASH,,-4.137444861838558e-06,-5.0050067333001245,,
2019-11-15,159915,易方达创业板ETF,1.000004216929177,1186888.8241937922,735371.0187074301,1.614
2019-11-15,CASH,,-4.216929176967207e-06,-5.005005006807459,,
2019-11-22,159915,易方达创业板ETF,1.0000042169469578,1186883.8191887853,735367.917713002,1.614
2019-11-22,CASH,,-4.21694695782043e-06,-5.005005004773813,,
2019-11-29,159915,易方达创业板ETF,1.0000042538634961,1176583.6633357983,735364.789584874,1.6
2019-11-29,CASH,,-4.253863496099317e-06,-5.005005004962872,,
2019-12-06,159915,易方达创业板ETF,0.500751129770651,611085.6376425277,367680.88907492644,1.662
2019-12-06,512660,国泰中证军工ETF,0.500751129770651,611085.6376425277,820249.1780436613,0.745
2019-12-06,CASH,,-0.0015022595413020565,-1833.264420434949,,
2019-12-13,159915,易方达创业板ETF,0.5000086863082858,615868.0592129717,363773.2186727535,1.693
2019-12-13,512660,国泰中证军工ETF,0.5000086863082858,615868.0592129717,826668.5358563379,0.745
2019-12-13,CASH,,-1.737261657145958e-05,-21.398107561513825,,
2019-12-20,159915,易方达创业板ETF,0.3336670089471867,414870.44514039333,242898.38708453943,1.708
2019-12-20,512660,国泰中证军工ETF,0.3336670089471867,414870.44514039333,550226.0545628559,0.754
2019-12-20,512480,国联安半导体ETF,0.33366700894718665,414870.4451403933,290525.5218069981,1.428
2019-12-20,CASH,,-0.0010010268415600327,-1244.643432582292,,
2019-12-27,159915,易方达创业板ETF,0.3333382530524915,413472.7690174135,243505.75324936013,1.698
2019-12-27,512660,国泰中证军工ETF,0.3333382530524915,413472.7690174135,549830.8098635818,0.752
2019-12-27,512480,国联安半导体ETF,0.33333825305249154,413472.76901741355,289141.7965156738,1.43
2019-12-27,CASH,,-1.4759157474477391e-05,-18.30725892829122,,
2020-01-03,159915,易方达创业板ETF,0.3333378835094365,430857.01346680254,244250.0076342418,1.764
2020-01-03,512660,国泰中证军工ETF,0.3333378835094365,430857.01346680254,549562.5171770441,0.784
2020-01-03,512480,国联安半导体ETF,0.33333788350943655,430857.0134668026,288391.5752789843,1.494
2020-01-03,CASH,,-1.3650528309567238e-05,-17.644036728689684,,
2020-01-10,159915,易方达创业板ETF,0.33334171210956665,443932.9761546085,242453.83733184516,1.831
2020-01-10,512660,国泰中证军工ETF,0.3333417121095666,443932.9761546084,561230.0583496946,0.791
2020-01-10,512480,国联安半导体ETF,0.33334171210956665,443932.9761546085,284572.4206119285,1.56
2020-01-10,CASH,,-2.513632869975566e-05,-33.47569417179693,,
2020-01-17,159915,易方达创业板ETF,0.33334529685621134,455207.58132449473,244998.69823708004,1.858
2020-01-17,512660,国泰中证军工ETF,0.33334529685621134,455207.58132449473,574757.0471268872,0.792
2020-01-17,512480,国联安半导体ETF,0.33334529685621134,455207.58132449473,275216.19185277796,1.654
2020-01-17,CASH,,-3.5890568634154856e-05,-49.01121778046763,,
2020-02-03,CASH,,1.0,1278971.113937408,,
2020-03-06,512480,国联安半导体ETF,0.25037556334501754,319742.778484352,162388.4095908339,1.969
2020-03-06,159915,易方达创业板ETF,0.25037556334501754,319742.778484352,151465.07744403218,2.111
2020-03-06,515070,华夏中证人工智能ETF,0.25037556334501754,319742.778484352,256821.50882277265,1.245
2020-03-06,512660,国泰中证军工ETF,0.25037556334501754,319742.778484352,367098.48276045005,0.871
2020-03-06,CASH,,-0.0015022533800701442,-1918.456670906162,,
2020-03-13,512480,国联安半导体ETF,0.2500082199894281,304739.5938739058,159299.31723675158,1.913
2020-03-13,159915,易方达创业板ETF,0.2500082199894281,304739.5938739058,156116.5952222878,1.952
2020-03-13,515070,华夏中证人工智能ETF,0.2500082199894281,304739.5938739058,256514.80965816986,1.188
2020-03-13,512660,国泰中证军工ETF,0.2500082199894281,304739.5938739058,361494.18015884433,0.843
2020-03-13,CASH,,-3.2879957712421895e-05,-40.07798207714268,,
2020-03-16,CASH,,1.0,1139164.8816736087,,
2020-04-17,159915,易方达创业板ETF,0.5007511266900351,569582.4408368043,293145.87793968315,1.943
2020-04-17,512660,国泰中证军工ETF,0.5007511266900351,569582.4408368043,714658.0186158147,0.797
2020-04-17,CASH,,-0.0015022533800701486,-1708.7473225104623,,
2020-04-24,159915,易方达创业板ETF,0.5000085699218799,569681.2510434045,295171.6326649764,1.93
2020-04-24,512660,国泰中证军工ETF,0.5000085699218799,569681.2510434045,707678.5727247259,0.805
2020-04-24,CASH,,-1.713984375995592e-05,-19.5281605620994,,
2020-05-08,159915,易方达创业板ETF,0.2503755694912808,298761.9777779788,146308.51017530795,2.042
2020-05-08,512660,国泰中证军工ETF,0.2503755694912808,298761.9777779788,356943.8205232722,0.837
2020-05-08,512480,国联安半导体ETF,0.2503755694912808,298761.9777779788,156011.47664646414,1.915
2020-05-08,515030,华夏中证新能源汽车ETF,0.2503755694912808,298761.9777779788,344592.823273332,0.867
2020-05-08,CASH,,-0.001502277965123273,-1792.601158908743,,
2020-05-15,159915,易方达创业板ETF,0.25000929397113614,302290.15317386633,148036.31399307854,2.042
2020-05-15,512660,国泰中证军工ETF,0.25000929397113614,302290.15317386633,360298.1563454903,0.839
2020-05-15,512480,国联安半导体ETF,0.25000929397113614,302290.15317386633,149722.71083401007,2.019
2020-05-15,515030,华夏中证新能源汽车ETF,0.25000929397113614,302290.15317386633,349872.8624697527,0.864
2020-05-15,CASH,,-3.71758845445739e-05,-44.94994427947404,,
2020-05-22,159915,易方达创业板ETF,0.2500066573295261,289573.0872256911,146842.3363213444,1.972
2020-05-22,512660,国泰中证军工ETF,0.2500066573295261,289573.0872256911,357497.63855023595,0.81
2020-05-22,512480,国联安半导体ETF,0.2500066573295261,289573.0872256911,152567.48536653907,1.898
2020-05-22,515030,华夏中证新能源汽车ETF,0.2500066573295261,289573.0872256911,348883.23762131465,0.83
2020-05-22,CASH,,-2.6629318104536763e-05,-30.84371406990931,,
2020-05-29,159915,易方达创业板ETF,0.3335821165837205,388254.67042666895,193546.69512795063,2.006
2020-05-29,512480,国联安半导体ETF,0.3335821165837205,388254.67042666895,213209.59386417846,1.821
2020-05-29,515030,华夏中证新能源汽车ETF,0.3335821165837205,388254.67042666895,447298.0074039965,0.868
2020-05-29,CASH,,-0.0007463497511613407,-868.6729961060337,,
2020-06-05,159915,易方达创业板ETF,0.33334121530521876,410559.3495349878,196722.25660516904,2.087
2020-06-05,512480,国联安半导体ETF,0.33334121530521876,410559.3495349878,210543.25617178864,1.95
2020-06-05,515030,华夏中证新能源汽车ETF,0.33334121530521876,410559.3495349878,444809.6961375816,0.923
2020-06-05,CASH,,-2.3645915656128927e-05,-29.123466601783548,,
2020-06-12,159915,易方达创业板ETF,0.3333426431075906,411658.0275268034,192273.71673367743,2.141
2020-06-12,512480,国联安半导体ETF,0.3333426431075906,411658.0275268034,215640.6639742291,1.909
2020-06-12,515030,华夏中证新能源汽车ETF,0.3333426431075906,411658.0275268034,444555.105320522,0.926
2020-06-12,CASH,,-2.792932277181015e-05,-34.49102645619777,,
2020-06-19,159915,易方达创业板ETF,0.33334265401913676,426705.812281753,190663.90182383958,2.238
2020-06-19,512480,国联安半导体ETF,0.33334265401913676,426705.812281753,220976.59879945777,1.931
2020-06-19,515030,华夏中证新能源汽车ETF,0.33334265401913676,426705.812281753,437646.9869556441,0.975
2020-06-19,CASH,,-2.7962057410246412e-05,-35.79371639497185,,
