date,code,name,weight,value,qty,price
2018-01-05,CASH,,1.0,1000000.0,,
2018-01-12,CASH,,1.0,1000000.0,,
2018-01-19,CASH,,1.0,1000000.0,,
2018-01-26,CASH,,1.0,1000000.0,,
2018-02-02,CASH,,1.0,1000000.0,,
2018-02-09,CASH,,1.0,1000000.0,,
2018-02-23,CASH,,1.0,1000000.0,,
2018-03-02,CASH,,1.0,1000000.0,,
2018-03-09,CASH,,1.0,1000000.0,,
2018-03-16,CASH,,1.0,1000000.0,,
2018-03-23,CASH,,1.0,1000000.0,,
2018-03-30,CASH,,1.0,1000000.0,,
2018-04-13,159949,华安创业板50ETF,0.25037556334501754,249999.99999999997,362318.84057971014,0.69
2018-04-13,159915,易方达创业板ETF,0.25037556334501754,249999.99999999997,145264.38117373618,1.721
2018-04-13,511880,可转债ETF,0.25037556334501754,249999.99999999997,2467.23511763777,101.328
2018-04-13,511010,国债ETF,0.25037556334501754,250000.0,2236.6160893215,111.776
2018-04-13,CASH,,-0.0015022533800700762,-1499.999999999971,,
2018-04-20,511880,可转债ETF,0.5007397597793497,492623.496109881,4860.520720951545,101.352
2018-04-20,511010,国债ETF,0.5007397597793497,492623.496109881,4393.912465859885,112.115
2018-04-20,CASH,,-0.0014795195586993497,-1455.53869716794,,
2018-04-27,159949,华安创业板50ETF,0.5015056278580483,492784.17183440086,734402.6405877806,0.671
2018-04-27,159915,易方达创业板ETF,0.5015056278580483,492784.1718344009,288684.34202366776,1.707
2018-04-27,CASH,,-0.0030112557160964742,-2958.8883390521514,,
2018-05-04,511880,可转债ETF,0.5015067772037018,493128.0424808155,4854.721467269318,101.577
2018-05-04,511010,国债ETF,0.5015067772037018,493128.0424808155,4391.127794773114,112.301
2018-05-04,CASH,,-0.003013554407403647,-2963.2065873933025,,
2018-05-11,159949,华安创业板50ETF,0.501506789318594,491218.7808328949,717107.709245102,0.685
2018-05-11,159915,易方达创业板ETF,0.501506789318594,491218.7808328949,283286.4941366176,1.734
2018-05-11,CASH,,-0.003013578637188125,-2951.7574948784895,,
2018-05-18,159949,华安创业板50ETF,0.5000066416717823,487525.203071138,716948.8280457911,0.68
2018-05-18,159915,易方达创业板ETF,0.5000066416717823,487525.203071138,281643.67595097516,1.731
2018-05-18,CASH,,-1.328334356459241e-05,-12.951757494938647,,
2018-05-25,159949,华安创业板50ETF,0.5000085419219564,477046.34553859284,721704.0023276744,0.661
2018-05-25,159915,易方达创业板ETF,0.5000085419219564,477046.34553859284,279792.5780285002,1.705
2018-05-25,CASH,,-1.7083843912783587e-05,-16.299292158127173,,
2018-06-01,511010,国债ETF,1.0030090542367833,905756.0865734641,8073.483911733451,112.189
2018-06-01,CASH,,-0.0030090542367833435,-2717.2927086586133,,
2018-06-05,CASH,,1.0,901398.01165594,,
2018-07-06,511880,可转债ETF,0.762272480007347,686080.2314719369,6698.563116048671,102.422
2018-07-06,511010,国债ETF,0.23922977337272305,215317.7801840031,1905.6188562275145,112.991
2018-07-06,CASH,,-0.0015022533800700965,-1352.0970174839022,,
2018-07-13,511880,可转债ETF,1.000716335361078,898817.0176756073,8789.0971268333,102.265
2018-07-13,CASH,,-0.0007163353610779703,-643.3935273649404,,
2018-07-20,CASH,,1.0,897404.6089114845,,
2018-07-27,511010,国债ETF,1.0015022533800702,897404.6089114845,7924.872251710845,113.239
2018-07-27,CASH,,-0.0015022533800700417,-1346.10691336717,,
2018-08-03,511010,国债ETF,0.2500522786860809,224849.55298739317,1974.2174935017356,113.893
2018-08-03,511880,可转债ETF,0.7522065865557089,676391.8154633429,6599.652796527851,102.489
2018-08-03,CASH,,-0.0022588652417899445,-2031.194606760051,,
2018-08-10,511010,国债ETF,0.2434913424720089,218895.96735461263,1926.0533863142334,113.65
2018-08-10,511880,可转债ETF,0.756529699513047,680111.6570558968,6633.229531126165,102.531
2018-08-10,CASH,,-2.1041985055894564e-05,-18.91650695712451,,
2018-08-17,511010,国债ETF,0.19775097917362824,177402.4885034769,1576.7288091462933,112.513
2018-08-17,511880,可转债ETF,0.802384497049084,719819.4775467444,7016.126298033475,102.595
2018-08-17,513100,纳斯达克100ETF,1.500214511435994e-06,1.3458430837103303,2.5803418330086325,0.5215755007704159
2018-08-17,CASH,,-0.00013697643722368325,-122.88162077056506,,
2018-08-24,511010,国债ETF,0.1945418587353153,174789.06225183146,1546.614244711553,113.014
2018-08-24,511880,可转债ETF,0.8054807755503455,723696.3311421537,7048.074903994484,102.68
2018-08-24,513100,纳斯达克100ETF,1.500045411549445e-06,1.347738386609207,2.5859141028884083,0.5211845146379044
2018-08-24,CASH,,-2.413433107232175e-05,-21.68385314928928,,
2018-08-31,511010,国债ETF,0.19247774562284048,173155.47930134312,1526.1502331356976,113.459
2018-08-31,511880,可转债ETF,0.8075425659824305,726475.7783630815,7070.461501567734,102.748
2018-08-31,513100,纳斯达克100ETF,1.500040885347218e-06,1.3494562586101195,2.5192826200797316,0.535651001540832
2018-08-31,CASH,,-2.1811646156224916e-05,-19.62204010812275,,
2018-09-07,511010,国债ETF,2.006018172464262e-06,1.7981876751815242,0.01589319328968486,113.142
2018-09-07,513100,纳斯达克100ETF,1.0030070435596692,899092.00654631,1727685.6535840833,0.5204025423728813
2018-09-07,CASH,,-0.0030090495778415886,-2697.3015195759945,,
2018-09-14,CASH,,1.0,915277.4988595451,,
2018-09-21,CASH,,1.0,915277.4988595451,,
2018-09-28,510050,华夏上证50ETF,1.0015022533800702,915277.4988595451,344218.6908084036,2.659
2018-09-28,CASH,,-0.0015022533800700707,-1372.9162482892862,,
2018-10-12,518880,华安黄金ETF,1.0030114442681475,857108.4986278695,317212.6197734528,2.702
2018-10-12,CASH,,-0.0030114442681475517,-2573.384870256181,,
2018-10-19,518880,华安黄金ETF,0.2197343968152182,189555.3421152531,69332.60501655197,2.734
2018-10-19,511010,国债ETF,0.7826179316188063,675130.5754751107,5895.667526613665,114.513
2018-10-19,CASH,,-0.002352328434024574,-2029.251803730731,,
2018-10-26,518880,华安黄金ETF,0.7344367152216266,632315.8208974255,229349.2277466179,2.757
2018-10-26,512800,华夏中证银行ETF,0.2679077899062076,230656.1349513132,234884.0478119279,0.982
2018-10-26,CASH,,-0.0023445051278343006,-2018.509769160184,,
2018-11-02,512800,华夏中证银行ETF,0.4745725524209403,406313.75158720266,408355.5292333695,0.995
2018-11-02,512880,国泰中证全指证券公司ETF,0.26048876978434965,223022.10432839207,286660.80247865303,0.778
2018-11-02,512000,华夏中证全指证券公司ETF,0.2671298725537473,228708.0028641268,308647.7771445706,0.741
2018-11-02,CASH,,-0.0021911947590372944,-1876.0304582742974,,
2018-11-09,CASH,,1.0,817433.4237836213,,
2018-12-14,159937,黄金基金,2.0030292055166466e-06,1.6348669798545845,0.5953630662252675,2.746
2018-12-14,512880,国泰中证全指证券公司ETF,0.4952334905480231,404208.2256140931,537510.9383166132,0.752
2018-12-14,512000,华夏中证全指证券公司ETF,0.5062770251130608,413221.92843556846,577125.598373699,0.716
2018-12-14,518880,华安黄金ETF,2.0030292055166466e-06,1.6348669798545845,0.5955799562311783,2.745
2018-12-14,CASH,,-0.0015145217194949953,-1236.1485008084558,,
2018-12-21,159937,黄金基金,0.038566066173733024,30441.659638124416,10918.816226013063,2.788
2018-12-21,512000,华夏中证全指证券公司ETF,1.2537733457649793e-06,0.9896508833230473,1.4239581055007875,0.695
2018-12-21,518880,华安黄金ETF,0.036839522155038266,29078.832920704564,10429.997460797907,2.788
2018-12-21,511010,国债ETF,0.14329025853039515,113104.43901618502,974.6433687745915,116.047
2018-12-21,511880,可转债ETF,0.7843142661731164,619089.0155249727,5980.669618171016,103.515
2018-12-21,CASH,,-0.003011366805628584,-2376.9861030038774,,
2018-12-28,159937,黄金基金,0.17459719648540048,134176.14703512294,47462.379566721946,2.827
2018-12-28,512000,华夏中证全指证券公司ETF,1.6705826574191272e-06,1.2838255641460912,1.876937959277911,0.684
2018-12-28,518880,华安黄金ETF,0.16601674741329805,127582.16030738033,45145.845827098485,2.826
2018-12-28,511010,国债ETF,0.6617282253311173,508531.32493878994,4361.5939630920375,116.593
2018-12-28,512880,国泰中证全指证券公司ETF,1.6705826574191272e-06,1.2838255641460912,1.7905516933697228,0.717
2018-12-28,CASH,,-0.0023455103951307457,-1802.5005783857923,,
2019-01-04,159937,黄金基金,2.0060251865878443e-06,1.5416898563309007,0.539618430637347,2.857
2019-01-04,512000,华夏中证全指证券公司ETF,0.5069202188410338,389583.2238704743,521530.4201746644,0.747
2019-01-04,518880,华安黄金ETF,2.0060251865857805e-06,1.5416898563293144,0.5403749934557709,2.853
2019-01-04,512880,国泰中证全指证券公司ETF,0.4960883018003123,381258.574340673,486299.2019651441,0.784
2019-01-04,CASH,,-0.003012532691719307,-2315.220727905602,,
2019-01-11,512000,华夏中证全指证券公司ETF,0.5054232339152558,386401.7250062763,519357.15726650035,0.744
2019-01-11,512880,国泰中证全指证券公司ETF,0.4946059549581263,378131.79404855194,485406.6675847907,0.779
2019-01-11,CASH,,-2.91888733822061e-05,-22.315220727991512,,
2019-01-18,512000,华夏中证全指证券公司ETF,0.2643113389899897,204687.53586599402,271468.880458878,0.754
2019-01-18,512880,国泰中证全指证券公司ETF,0.25877361081594286,200399.0178683448,253348.9480004359,0.791
2019-01-18,159920,恒生ETF,0.47835014384880653,370443.101683444,260875.4237207352,1.42
2019-01-18,CASH,,-0.0014350936547392148,-1111.362777881499,,
2019-01-25,159920,恒生ETF,1.5045168889087383e-06,1.1655130584939033,0.8082614830054808,1.442
2019-01-25,159937,黄金基金,0.5117422725523953,396434.43396356737,141735.5859719583,2.797
2019-01-25,518880,华安黄金ETF,0.4912674038845249,380573.0455143758,136064.72846420298,2.797
2019-01-25,CASH,,-0.0030111809538091194,-2332.6894826007774,,
2019-02-01,159920,恒生ETF,0.4782094342177936,376628.9638112713,258141.85319483982,1.459
2019-02-01,512880,国泰中证全指证券公司ETF,0.25960743967201283,204462.04948109994,257508.87843967247,0.794
2019-02-01,512000,华夏中证全指证券公司ETF,0.2651966048119305,208863.97325046363,276275.0968921477,0.756
2019-02-01,CASH,,-0.0030134787017371037,-2373.3604560918757,,
2019-02-15,159920,恒生ETF,1.5045202286848268e-06,1.2045132945923251,0.8221933751483448,1.465
2019-02-15,159937,黄金基金,0.5108998913091264,409024.55118569906,143015.577337657,2.86
2019-02-15,518880,华安黄金ETF,0.4921120868415908,393983.10486554576,137708.1806590513,2.861
2019-02-15,CASH,,-0.003013482670945882,-2412.583008837886,,
2019-02-22,512000,华夏中证全指证券公司ETF,0.5052388489504663,403349.23906531476,435112.4477511486,0.927
2019-02-22,512880,国泰中证全指证券公司ETF,0.497781005920188,397395.39106336463,409264.04846896464,0.971
2019-02-22,CASH,,-0.003019854870654306,-2410.8521478432813,,
2019-03-01,512000,华夏中证全指证券公司ETF,0.504077728837408,429398.01105883246,435053.7092794655,0.987
2019-03-01,512880,国泰中证全指证券公司ETF,0.4959368404759155,422463.2050344933,406997.30735500314,1.038
2019-03-01,CASH,,-1.4569313323553945e-05,-12.410852147853802,,
2019-03-08,512000,华夏中证全指证券公司ETF,0.3031152029773208,259199.83257967126,260502.34430117716,0.995
2019-03-08,512880,国泰中证全指证券公司ETF,0.29917365345545294,255829.33526994352,245989.74545186877,1.04
2019-03-08,159915,易方达创业板ETF,0.39890788900461305,341114.0616805089,215349.78641446267,1.584
2019-03-08,CASH,,-0.0011967454373866685,-1023.3608013198827,,
2019-03-14,CASH,,1.0,840211.4743899102,,
2019-04-12,512000,华夏中证全指证券公司ETF,1.0015022533800702,840211.4743899102,818122.1756474297,1.027
2019-04-12,CASH,,-0.0015022533800701304,-1260.3172115848865,,
2019-04-19,512000,华夏中证全指证券公司ETF,0.5047871097755962,422860.664235101,411743.5873759504,1.027
2019-04-19,512880,国泰中证全指证券公司ETF,0.4967052627556233,416090.49294322426,385268.97494742984,1.08
2019-04-19,CASH,,-0.00149237253121949,-1250.1619546470465,,
2019-04-26,512000,华夏中证全指证券公司ETF,0.5040789107512034,408822.8851657819,410877.2715233989,0.995
2019-04-26,512880,国泰中证全指证券公司ETF,0.4959349607065589,402217.9011387059,384897.5130513932,1.045
2019-04-26,CASH,,-1.387145776235215e-05,-11.250161954621205,,
2019-05-06,CASH,,1.0,702263.9664279113,,
2019-06-14,159937,黄金基金,0.3506393476789736,245872.0170181013,81414.57517155672,3.02
2019-06-14,513500,标普500ETF,0.16846821217539348,118131.6911669618,63648.54049944062,1.856
2019-06-14,518880,华安黄金ETF,0.3369310926517414,236259.64369019424,78179.89533097096,3.022
2019-06-14,513100,纳斯达克100ETF,0.14546360087396176,102000.614552654,194759.52932859652,0.5237259244992295
2019-06-14,CASH,,-0.0015022533800701902,-1053.3959496419266,,
2019-06-21,513500,标普500ETF,0.38302632681991333,273304.87364394334,145297.6468069874,1.881
2019-06-21,513100,纳斯达克100ETF,0.3058777950398864,218256.2562159577,406273.61135846307,0.5372149460708783
2019-06-21,510050,华夏上证50ETF,0.3131610315413518,223453.14189292537,75669.8753447089,2.953
2019-06-21,CASH,,-0.0020651534011514763,-1473.5710050093621,,
2019-06-28,510050,华夏上证50ETF,0.20353071432178418,143938.09173466824,48759.51617028057,2.952
2019-06-28,159937,黄金基金,0.40666974870016454,287599.1851606922,92416.19060433554,3.112
2019-06-28,518880,华安黄金ETF,0.3921992695113794,277365.57905430894,89213.75974728496,3.109
2019-06-28,CASH,,-0.002399732533328163,-1697.1046491526358,,
2019-07-05,159937,黄金基金,0.4242357942581143,301637.741931146,96554.97500996992,3.124
2019-07-05,518880,华安黄金ETF,0.4077565405943231,289920.7559268198,92774.64189658234,3.125
2019-07-05,159928,消费ETF,0.16861860691132413,119890.25095171944,40558.271634546494,2.956
2019-07-05,CASH,,-0.0006109417637614011,-434.388367428277,,
2019-07-12,159937,黄金基金,0.3295317356527248,233183.9730106664,74954.66827729552,3.111
2019-07-12,518880,华安黄金ETF,0.31587528393934583,223520.3645529063,71848.3974776298,3.111
2019-07-12,159928,消费ETF,0.0946261468471482,66959.56257081762,22705.853703227407,2.949
2019-07-12,513100,纳斯达克100ETF,0.11878045329444256,84051.6861307558,152625.89534367665,0.5507039676425269
2019-07-12,513500,标普500ETF,0.14196955108516676,100460.80661398724,51971.44677391994,1.933
2019-07-12,CASH,,-0.0007831708188280125,-554.1890607852984,,
2019-07-19,159937,黄金基金,0.34535240685810864,247428.26812067165,77807.63148448794,3.18
2019-07-19,518880,华安黄金ETF,0.33478183316855575,239854.96418790772,75497.31324768893,3.177
2019-07-19,513100,纳斯达克100ETF,0.14695699610641313,105287.56803992824,189973.3462831105,0.5542228428351309
2019-07-19,513500,标普500ETF,0.17318397219243392,124077.9257792695,64389.167503512974,1.927
2019-07-19,CASH,,-0.0002752083255113851,-197.1734321274016,,
2019-07-26,159937,黄金基金,0.3437251271631663,244443.4384780463,77972.38866923327,3.135
2019-07-26,518880,华安黄金ETF,0.3335892751832684,237235.22960975888,75697.26535091222,3.134
2019-07-26,513100,纳斯达克100ETF,0.1480161259865217,105263.09520912527,188664.76928959045,0.5579372110939906
2019-07-26,513500,标普500ETF,0.17470108693234626,124240.36248977213,64074.45203185773,1.939
2019-07-26,CASH,,-3.161526530269473e-05,-22.48350076343945,,
2019-08-02,159937,黄金基金,0.1408355353070901,100692.63036343419,31594.800867095764,3.187
2019-08-02,518880,华安黄金ETF,0.1378298736969307,98543.68426932929,30949.649582075777,3.184
2019-08-02,513500,标普500ETF,1.33622794714044e-06,0.955357655078471,0.49732308957754867,1.921
2019-08-02,511010,国债ETF,0.723503813378589,517280.6840845499,4385.964762460148,117.94
2019-08-02,CASH,,-0.0021705586105570363,-1551.8757775047561,,
2019-08-09,159937,黄金基金,0.32354155402386314,235899.64091259037,69341.45823415354,3.402
2019-08-09,518880,华安黄金ETF,0.31493651101277315,229625.5579358986,67477.38993120735,3.403
2019-08-09,513500,标普500ETF,0.19701095505646074,143644.03266183785,74465.54311137265,1.929
2019-08-09,513100,纳斯达克100ETF,0.16664496138706794,121503.67104993986,220242.45114609276,0.5516814329738058
2019-08-09,CASH,,-0.0021339814801648745,-1555.9221331052977,,
2019-08-16,159937,黄金基金,3.0090381390180484e-06,2.1763243793183356,0.6365382799995132,3.419
2019-08-16,518880,华安黄金ETF,3.0090381390180484e-06,2.1763243793183356,0.6365382799995132,3.419
2019-08-16,159915,易方达创业板ETF,1.003006227488921,725436.7690416165,479786.222911122,1.512
2019-08-16,CASH,,-0.0030122455651990796,-2178.6441903244267,,
2019-08-23,159937,黄金基金,0.5064286388524865,375597.01498543343,110567.26964540285,3.397
2019-08-23,518880,华安黄金ETF,0.4965847902353228,368296.24272864935,108386.18090896096,3.398
2019-08-23,CASH,,-0.0030134290878090857,-2234.934763594705,,
2019-08-30,159937,黄金基金,0.5048416445499749,386461.24302978464,110259.9837460156,3.505
2019-08-30,518880,华安黄金ETF,0.49517433817713813,379060.8249423928,108056.10745222145,3.508
2019-08-30,CASH,,-1.5982727113030153e-05,-12.234934763778256,,
2019-09-06,512660,国泰中证军工ETF,0.5273857072049872,393555.20965018234,460298.4908189267,0.855
2019-09-06,159949,华安创业板50ETF,0.4756233445434904,354928.17215006275,594519.5513401387,0.597
2019-09-06,CASH,,-0.0030090517484775733,-2245.468497802969,,
2019-09-20,159949,华安创业板50ETF,0.46478736155535344,338352.8714446875,563921.4524078125,0.6
2019-09-20,512010,易方达沪深300医药卫生ETF,0.5368277485108741,390796.362388199,214723.27603747198,1.82
2019-09-20,CASH,,-0.0016151100662275338,-1175.7572899112129,,
2019-09-27,159949,华安创业板50ETF,2.0060262079707407e-06,1.4137462236592546,2.4291172227822244,0.582
2019-09-27,518880,华安黄金ETF,1.0030095250489262,706870.5895754999,207658.8100985605,3.404
2019-09-27,CASH,,-0.0030115310751340687,-2122.375404661405,,
2019-10-11,518880,华安黄金ETF,0.4958526815023299,349021.4366502648,102502.62456689127,3.405
2019-10-11,159937,黄金基金,0.5056759717360365,355935.8670807165,104502.60337073296,3.406
2019-10-11,CASH,,-0.0015286532383663122,-1075.990448974073,,
2019-10-14,CASH,,1.0,692591.4901922548,,
2019-11-15,CASH,,1.0,692591.4901922548,,
2019-11-22,515000,华夏中证5G通信主题ETF,1.0015022533800702,692591.4901922548,577159.5751602123,1.2
2019-11-22,CASH,,-0.001502253380070119,-1038.8872352883918,,
2019-11-29,515000,华夏中证5G通信主题ETF,1.000008858117234,681740.8901792428,576281.3949106025,1.183
2019-11-29,CASH,,-8.858117233938749e-06,-6.038887235206403,,
2019-12-06,515000,华夏中证5G通信主题ETF,0.50075113314093,352104.9128467605,288138.22655217716,1.222
2019-12-06,159949,华安创业板50ETF,0.50075113314093,352104.9128467605,563367.8605548168,0.625
2019-12-06,CASH,,-0.0015022662818599995,-1056.3237968711182,,
2019-12-13,159949,华安创业板50ETF,1.0014942659847532,718493.5200571251,1119148.785135709,0.642
2019-12-13,CASH,,-0.0014942659847532458,-1072.0185464380193,,
2019-12-20,159949,华安创业板50ETF,0.1492722424971173,107483.9627808569,166383.84331401996,0.646
2019-12-20,512800,华夏中证银行ETF,0.24816003213409532,178688.43672066132,157296.1590850892,1.136
2019-12-20,512480,国联安半导体ETF,0.11370340019674248,81872.50241812078,57333.68516675125,1.428
2019-12-20,513500,标普500ETF,0.491426427959736,353853.19473159104,168742.5821323753,2.097
2019-12-20,CASH,,-0.0025621027876910154,-1844.8504294308368,,
2019-12-27,159949,华安创业板50ETF,0.6117377064901384,443183.8929114353,682871.9459344149,0.649
2019-12-27,512480,国联安半导体ETF,0.3904861226684939,282894.3812619227,197828.2386447012,1.43
2019-12-27,CASH,,-0.0022238291586323335,-1611.0912458663806,,
2020-01-03,159949,华安创业板50ETF,0.6091433364490509,458160.92405198247,682803.1655022093,0.671
2020-01-03,512480,国联安半导体ETF,0.39087210096276226,293990.4489593271,196780.75566220022,1.494
2020-01-03,CASH,,-1.5437411813239117e-05,-11.611091245871648,,
2020-01-10,159949,华安创业板50ETF,0.20036065364174227,156302.91355316443,224896.27849376178,0.695
2020-01-10,512480,国联安半导体ETF,0.20036065364174224,156302.9135531644,100194.17535459256,1.56
