ETF代码,下载状态,数据来源,是否折算修复,折算修复日期,折算修复因子,缺失交易日(最近5日),最大单日涨跌幅,最大涨跌幅日期,错误
510050,成功,,否,,,,0.08848,2020-07-06,
510300,成功,,否,,,,0.09408,2024-09-30,
510500,成功,,否,,,,-0.12742,2022-08-29,
510030,成功,,否,,,,-0.87668,2021-06-21,
563200,成功,,否,,,,-0.10009,2025-04-07,
159915,成功,,否,,,,0.20000,2024-09-30,
588000,成功,,否,,,,0.20000,2024-10-08,
588080,成功,,否,,,,0.20022,2024-10-08,
159949,成功,,否,,,,0.20020,2024-10-08,
159595,成功,,否,,,,0.09231,2024-09-30,
159739,成功,,否,,,,0.10053,2024-10-08,
515260,成功,,否,,,,-0.49882,2025-09-15,
512480,成功,,否,,,,-0.48904,2021-03-29,
159558,成功,,否,,,,0.10021,2024-09-30,
159513,成功,,否,,,,-0.10000,2025-04-07,
159995,成功,,否,,,,0.10009,2024-10-09,
512720,成功,,否,,,,-0.10037,2025-04-07,
515230,成功,,否,,,,0.10048,2024-09-30,
159741,成功,,否,,,,0.10047,2022-03-16,
515400,成功,,否,,,,0.10028,2024-10-08,
515070,成功,,否,,,,-0.10036,2020-02-03,
159819,成功,,否,,,,0.10068,2024-09-30,
515000,成功,,否,,,,-0.50518,2025-09-08,
515880,成功,,否,,,,-0.65696,2026-02-03,
159740,成功,,否,,,,0.10063,2022-03-17,
516010,成功,,否,,,,0.10041,2024-10-08,
159658,成功,,否,,,,0.10044,2024-09-30,
159631,成功,,否,,,,-0.08885,2024-10-09,
515030,成功,,否,,,,0.10025,2024-10-08,
515250,成功,,否,,,,0.10050,2024-09-30,
561160,成功,,否,,,,0.10022,2024-09-30,
515790,成功,,否,,,,0.10067,2024-09-30,
159849,成功,,否,,,,0.10079,2024-10-08,
159566,成功,,否,,,,-0.09992,2025-04-07,
159889,成功,,否,,,,0.10047,2024-10-08,
159790,成功,,否,,,,-0.10029,2024-10-09,
516160,成功,,否,,,,2.21328,2024-09-18,
560050,成功,,否,,,,0.09524,2024-09-30,
512010,成功,,否,,,,-0.73924,2021-06-28,
159883,成功,,否,,,,0.10064,2022-10-14,
159992,成功,,否,,,,0.10000,2024-02-06,
512290,成功,,否,,,,0.10022,2024-09-30,
159647,成功,,否,,,,0.09829,2024-09-30,
512170,成功,,否,,,,-0.68097,2021-02-25,
159928,成功,,否,,,,-0.74474,2021-06-25,
159936,成功,,否,,,,-0.10000,2020-02-03,
512690,成功,,否,,,,-0.47995,2021-05-17,
159996,成功,,否,,,,-0.09963,2025-04-07,
159766,成功,,否,,,,0.09986,2024-09-30,
513070,成功,,否,,,,-0.10015,2025-04-07,
159755,成功,,否,,,,0.10035,2025-09-05,
515170,成功,,否,,,,0.10081,2024-09-30,
512000,成功,,否,,,,-0.49736,2025-08-04,
512800,成功,,否,,,,-0.49690,2025-07-07,
512880,成功,,否,,,,0.10040,2024-09-30,
159940,成功,,否,,,,0.10000,2020-07-06,
512070,成功,,否,,,,-0.66221,2021-09-13,
159851,成功,,否,,,,-0.51294,2025-07-14,
159697,成功,,否,,,,-0.09980,2025-04-07,
512400,成功,,否,,,,-0.10004,2026-02-02,
159735,成功,,否,,,,0.10018,2022-03-16,
518880,成功,,否,,,,-0.10001,2026-02-02,
159839,成功,,否,,,,0.10080,2024-10-08,
515210,成功,,否,,,,-0.10000,2025-04-07,
515220,成功,,否,,,,-0.50345,2024-04-12,
159870,成功,,否,,,,-0.10000,2025-04-07,
159745,成功,,否,,,,0.10101,2024-09-26,
512710,成功,,否,,,,-0.49629,2021-03-22,
159645,成功,,否,,,,0.09987,2024-10-08,
512660,成功,,否,,,,0.10011,2024-09-30,
512680,成功,,否,,,,0.10039,2020-07-20,
512200,成功,,否,,,,1.70068,2024-08-12,
512980,成功,,否,,,,-0.10037,2025-04-07,
513360,成功,,否,,,,-0.10049,2021-07-28,
159825,成功,,否,,,,0.09394,2024-09-30,
516970,成功,,否,,,,0.09454,2024-09-30,
159672,成功,,否,,,,0.09963,2024-09-30,
159611,成功,,否,,,,-0.07087,2022-03-15,
159885,成功,,否,,,,-0.33644,2021-11-01,
512580,成功,,否,,,,0.10039,2024-10-08,
159805,成功,,否,,,,0.10000,2026-01-12,
510880,成功,,否,,,,-0.09336,2020-02-03,
512890,成功,,否,,,,-0.51129,2021-10-25,
159905,成功,,否,,,,-0.09802,2020-02-03,
515080,成功,,否,,,,-0.09615,2020-02-03,
512050,成功,,否,,,,-0.09043,2025-04-07,
515910,成功,,否,,,,0.10081,2024-09-30,
515060,成功,,否,,,,0.10042,2022-11-29,
512950,成功,,否,,,,-0.10013,2024-10-09,
515090,成功,,否,,,,0.09951,2024-10-08,
513100,成功,sina,是,2022-01-14,0.19549307,,-0.09979,2025-04-07,
513500,成功,,否,,,,-0.49177,2022-03-30,
513750,成功,,否,,,,-0.09960,2025-04-07,
513130,成功,,否,,,,0.10000,2024-09-30,
513120,成功,,否,,,,-0.09947,2025-04-07,
159920,成功,,否,,,,-0.10021,2025-04-07,
513690,成功,,否,,,,0.09962,2022-03-17,
513000,成功,,否,,,,0.10037,2023-05-19,
513800,成功,,否,,,,-0.09993,2025-04-07,
513030,成功,,否,,,,-0.10018,2025-04-07,
513060,成功,,否,,,,0.10123,2024-09-30,
513090,成功,,否,,,,0.10028,2024-09-27,
159937,成功,,否,,,,-0.10002,2026-02-02,
159981,成功,,否,,,,-0.09996,2021-10-20,
511010,成功,,否,,,,0.01488,2020-02-03,
511270,成功,,否,,,,0.01746,2020-02-03,
511880,成功,,否,,,,-0.03300,2018-12-28,
159676,成功,,否,,,,0.19958,2024-10-08,
